reproductionNumber,reproductionNumberLow,reproductionNumberHigh,date,city,ibgeID
3.0,0.65,7.86,2020-05-10,Abaetetuba/PA,1500107
2.45,1.1400000000000001,3.74,2020-05-11,Abaetetuba/PA,1500107
1.96,0.98,2.88,2020-05-12,Abaetetuba/PA,1500107
1.52,0.7000000000000001,2.2800000000000002,2020-05-13,Abaetetuba/PA,1500107
1.27,0.54,1.96,2020-05-14,Abaetetuba/PA,1500107
1.06,0.4,1.73,2020-05-15,Abaetetuba/PA,1500107
1.01,0.32,1.6300000000000001,2020-05-16,Abaetetuba/PA,1500107
1.07,0.39,1.69,2020-05-17,Abaetetuba/PA,1500107
1.1300000000000001,0.49,1.76,2020-05-18,Abaetetuba/PA,1500107
1.19,0.53,1.78,2020-05-19,Abaetetuba/PA,1500107
1.1500000000000001,0.51,1.73,2020-05-20,Abaetetuba/PA,1500107
1.04,0.41000000000000003,1.61,2020-05-21,Abaetetuba/PA,1500107
1.25,0.62,1.81,2020-05-22,Abaetetuba/PA,1500107
2.0100000000000002,1.42,2.54,2020-05-23,Abaetetuba/PA,1500107
2.4,1.87,2.86,2020-05-24,Abaetetuba/PA,1500107
2.47,2.0100000000000002,2.87,2020-05-25,Abaetetuba/PA,1500107
2.13,1.72,2.49,2020-05-26,Abaetetuba/PA,1500107
1.6400000000000001,1.24,1.97,2020-05-27,Abaetetuba/PA,1500107
1.1400000000000001,0.77,1.49,2020-05-28,Abaetetuba/PA,1500107
0.67,0.29,1.04,2020-05-29,Abaetetuba/PA,1500107
0.32,0.0,0.67,2020-05-30,Abaetetuba/PA,1500107
0.23,0.0,0.65,2020-05-31,Abaetetuba/PA,1500107
0.22,0.0,0.7000000000000001,2020-06-01,Abaetetuba/PA,1500107
0.36,0.0,0.8200000000000001,2020-06-02,Abaetetuba/PA,1500107
0.45,0.0,0.91,2020-06-03,Abaetetuba/PA,1500107
0.49,0.0,0.96,2020-06-04,Abaetetuba/PA,1500107
0.48,0.0,0.96,2020-06-05,Abaetetuba/PA,1500107
0.42,0.0,0.93,2020-06-06,Abaetetuba/PA,1500107
0.44,0.0,0.96,2020-06-07,Abaetetuba/PA,1500107
0.49,0.0,1.02,2020-06-08,Abaetetuba/PA,1500107
0.75,0.09,1.29,2020-06-09,Abaetetuba/PA,1500107
1.08,0.43,1.6400000000000001,2020-06-10,Abaetetuba/PA,1500107
1.29,0.68,1.83,2020-06-11,Abaetetuba/PA,1500107
1.3,0.73,1.82,2020-06-12,Abaetetuba/PA,1500107
1.28,0.72,1.77,2020-06-13,Abaetetuba/PA,1500107
1.1,0.5700000000000001,1.59,2020-06-14,Abaetetuba/PA,1500107
0.98,0.43,1.45,2020-06-15,Abaetetuba/PA,1500107
0.8200000000000001,0.27,1.3,2020-06-16,Abaetetuba/PA,1500107
0.72,0.19,1.23,2020-06-17,Abaetetuba/PA,1500107
0.65,0.07,1.1300000000000001,2020-06-18,Abaetetuba/PA,1500107
0.58,0.02,1.06,2020-06-19,Abaetetuba/PA,1500107
0.48,0.0,0.97,2020-06-20,Abaetetuba/PA,1500107
0.51,0.0,1.03,2020-06-21,Abaetetuba/PA,1500107
0.56,0.0,1.1,2020-06-22,Abaetetuba/PA,1500107
0.58,0.0,1.1300000000000001,2020-06-23,Abaetetuba/PA,1500107
0.62,0.0,1.18,2020-06-24,Abaetetuba/PA,1500107
0.64,0.0,1.2,2020-06-25,Abaetetuba/PA,1500107
0.63,0.0,1.21,2020-06-26,Abaetetuba/PA,1500107
0.63,0.0,1.21,2020-06-27,Abaetetuba/PA,1500107
0.64,0.0,1.24,2020-06-28,Abaetetuba/PA,1500107
0.66,0.0,1.26,2020-06-29,Abaetetuba/PA,1500107
0.68,0.0,1.28,2020-06-30,Abaetetuba/PA,1500107
0.66,0.0,1.28,2020-07-01,Abaetetuba/PA,1500107
0.62,0.0,1.25,2020-07-02,Abaetetuba/PA,1500107
0.63,0.0,1.27,2020-07-03,Abaetetuba/PA,1500107
0.67,0.0,1.32,2020-07-04,Abaetetuba/PA,1500107
0.72,0.0,1.37,2020-07-05,Abaetetuba/PA,1500107
0.73,0.0,1.3800000000000001,2020-07-06,Abaetetuba/PA,1500107
0.75,0.0,1.4000000000000001,2020-07-07,Abaetetuba/PA,1500107
0.73,0.0,1.3800000000000001,2020-07-08,Abaetetuba/PA,1500107
0.67,0.0,1.34,2020-07-09,Abaetetuba/PA,1500107
0.5700000000000001,0.0,1.27,2020-07-10,Abaetetuba/PA,1500107
0.65,0.0,1.35,2020-07-11,Abaetetuba/PA,1500107
0.81,0.03,1.52,2020-07-12,Abaetetuba/PA,1500107
0.97,0.09,1.68,2020-07-13,Abaetetuba/PA,1500107
1.1,0.22,1.83,2020-07-14,Abaetetuba/PA,1500107
1.1500000000000001,0.34,1.9000000000000001,2020-07-15,Abaetetuba/PA,1500107
1.1,0.3,1.82,2020-07-16,Abaetetuba/PA,1500107
1.01,0.2,1.69,2020-07-17,Abaetetuba/PA,1500107
