day,state,suscetivel,infectado,recuperado
2020-03-07,DF,0.9999966835452105,3.3164547894249765e-06,0.0
2020-03-08,DF,0.9999957748073033,3.539783495565611e-06,6.854092011093159e-07
2020-03-09,DF,0.9999948049597043,3.7781296516121126e-06,1.41691064424447e-06
2020-03-10,DF,0.9999937697549979,4.032536943892189e-06,2.1977080584186697e-06
2020-03-11,DF,0.9999926648377534,4.304075586283109e-06,3.0310866604783555e-06
2020-03-12,DF,0.9999914855334987,4.59389417365599e-06,3.92057232780733e-06
2020-03-13,DF,0.9999902268267513,4.9032250738491324e-06,4.869948174970285e-06
2020-03-14,DF,0.9999888833706306,5.233382064874751e-06,5.88324730465766e-06
2020-03-15,DF,0.9999874494565126,5.585767785125809e-06,6.964775702477876e-06
2020-03-16,DF,0.9999859189830689,5.9618813370002575e-06,8.119135594407714e-06
2020-03-17,DF,0.9999842854610385,6.363317110200041e-06,9.351221851565799e-06
2020-03-18,DF,0.9999825419513815,6.791779969576816e-06,1.066626864922913e-05
2020-03-19,DF,0.9999806810461417,7.249089950384882e-06,1.2069863908157518e-05
2020-03-20,DF,0.9999786948480835,7.737187256550412e-06,1.3567964660109926e-05
2020-03-21,DF,0.9999765749126669,8.258146501171964e-06,1.516694083216481e-05
2020-03-22,DF,0.9999743122508433,8.814176020634248e-06,1.687357313633301e-05
2020-03-23,DF,0.9999718972616267,9.407634418732995e-06,1.8695103954887406e-05
2020-03-24,DF,0.9999693196788124,1.0041043643147138e-05,2.063927754469481e-05
2020-03-25,DF,0.9999665685470525,1.0717094852028468e-05,2.271435809583255e-05
2020-03-26,DF,0.999963632192011,1.1438655727632504e-05,2.492915226167648e-05
2020-03-27,DF,0.999960498150115,1.2208787718083076e-05,2.7293062167365864e-05
2020-03-28,DF,0.9999571531107521,1.3030760199618948e-05,2.981612904879855e-05
2020-03-29,DF,0.9999535828803484,1.3908059294987446e-05,3.250906035704842e-05
2020-03-30,DF,0.9999497722973729,1.4844408700122697e-05,3.538329392740719e-05
2020-03-31,DF,0.9999457051887308,1.5843780381169662e-05,3.8451030888424144e-05
2020-04-01,DF,0.9999413642911236,1.6910413839060455e-05,4.172529503770741e-05
2020-04-02,DF,0.9999367311769475,1.8048834266057245e-05,4.5219988786838406e-05
2020-04-03,DF,0.9999317861866187,1.926386912681369e-05,4.894994425475534e-05
2020-04-04,DF,0.9999265083209613,2.056067450080344e-05,5.293100453815679e-05
2020-04-05,DF,0.9999208751977429,2.19447457518746e-05,5.718005650557572e-05
2020-04-06,DF,0.9999148629337091,2.342194638934197e-05,6.171511990187719e-05
2020-04-07,DF,0.9999084460081084,2.499854143954736e-05,6.655545045250067e-05
2020-04-08,DF,0.9999015971932834,2.668121446922191e-05,7.172159224765672e-05
2020-04-09,DF,0.9998942874291037,2.847709828020234e-05,7.7235472616446e-05
2020-04-10,DF,0.9998864857173372,3.039380069869346e-05,8.312048196448882e-05
2020-04-11,DF,0.9998781589711992,3.2439441410089875e-05,8.94015873909871e-05
2020-04-12,DF,0.9998692718817976,3.4622684567505745e-05,9.610543363523119e-05
2020-04-13,DF,0.9998597867646447,3.695277620525106e-05,0.00010326045915036833
2020-04-14,DF,0.9998496634144823,3.943957977665617e-05,0.00011089700574131142
2020-04-15,DF,0.9998388589334679,4.2093618055886674e-05,0.00011904744847649357
2020-04-16,DF,0.999827327520303,4.4926124469878885e-05,0.00012774635522739782
2020-04-17,DF,0.9998150203149023,4.794908108508436e-05,0.00013703060401291313
2020-04-18,DF,0.9998018851884011,5.1175269752219426e-05,0.00014693954184711393
2020-04-19,DF,0.9997878664922198,5.461833303593312e-05,0.000157515174744624
2020-04-20,DF,0.9997729048616327,5.829282219804295e-05,0.00016880231616968406
2020-04-21,DF,0.9997569369666119,6.221425777710696e-05,0.00018084877561148566
2020-04-22,DF,0.999739895202725,6.639920444841317e-05,0.00019370559282709301
2020-04-23,DF,0.9997217074528555,7.086532912179749e-05,0.00020742721802324544
2020-04-24,DF,0.9997022967899188,7.563147308491001e-05,0.00022207173699670722
2020-04-25,DF,0.9996815811021735,8.071774244825795e-05,0.00023770115537871407
2020-04-26,DF,0.9996594727982276,8.614557990302328e-05,0.00025438162186978226
2020-04-27,DF,0.9996358784544817,9.193785009590171e-05,0.000272183695422893
2020-04-28,DF,0.9996106983737748,9.81189458104086e-05,0.0002911826804153228
2020-04-29,DF,0.9995838261953724,0.00010471488230904081,0.0003114589223190448
2020-04-30,DF,0.999555148463372,0.0001117534014124771,0.0003330981352159942
2020-05-01,DF,0.9995245441465702,0.00011926408689767805,0.00035619176653261495
2020-05-02,DF,0.9994918841619076,0.00012727847937061673,0.00038083735872228313
2020-05-03,DF,0.9994570308021548,0.00013583021308339067,0.0004071389847623034
2020-05-04,DF,0.9994198371899561,0.0001449551470114137,0.0004352076630329391
2020-05-05,DF,0.9993801466857991,0.0001546915065483899,0.00046516180765298335
2020-05-06,DF,0.9993377922081031,0.00016508004519588082,0.0004971277467013899
2020-05-07,DF,0.9992925955988554,0.0001761641965005821,0.0005312402046445295
2020-05-08,DF,0.999244366855752,0.00018799025567879272,0.0005676428885696665
2020-05-09,DF,0.9991929033758272,0.00020060755930361658,0.0006064890648696747
2020-05-10,DF,0.9991379891534613,0.00021406867535021915,0.0006479421711889818
2020-05-11,DF,0.9990793938515198,0.0002284296209656133,0.0006921765275151521
2020-05-12,DF,0.9990168719397104,0.00024375006671550014,0.0007393779935745777
2020-05-13,DF,0.9989501616609993,0.0002600935773992198,0.0007897447616020815
2020-05-14,DF,0.9988789839941214,0.0002775278547353803,0.0008434881511437065
2020-05-15,DF,0.9988030415786462,0.0002961249886052743,0.0009008334327489467
2020-05-16,DF,0.99872201746314,0.0003159617445302178,0.0009620207923301918
2020-05-17,DF,0.9986355739332836,0.00033711983722141316,0.0010273062294953897
2020-05-18,DF,0.9985433511374822,0.0003596862439845162,0.0010969626185336812
2020-05-19,DF,0.9984449656782088,0.00038375352663822594,0.0011712807951533176
2020-05-20,DF,0.9983400091813289,0.00040942015946702354,0.001250570659204355
2020-05-21,DF,0.9982280466296586,0.0004367909003705987,0.0013351624699712214
2020-05-22,DF,0.9981086147841514,0.0004659771509592438,0.0014254080648897019
2020-05-23,DF,0.9979812203805986,0.0004970973551714362,0.0015216822642303155
2020-05-24,DF,0.9978453382457447,0.0005302774145658522,0.0016243843396896928
2020-05-25,DF,0.9977004094118344,0.0005656511085826904,0.0017339394795833746
2020-05-26,DF,0.9975458389408186,0.0006033605569469208,0.001850800502234856
2020-05-27,DF,0.9973809938261169,0.0006435566813679227,0.001975449492515621
2020-05-28,DF,0.9972052006673378,0.0006863996963501926,0.0021083996363125464
