date,state,newCases,mortes,TOTAL,totalCasesPred,residuo_quadratico,res_quad_padronizado,sucetivel,exposto,infectado,recuperado
2020-03-18,PB,1,0,1,1,0,0,4018126,0,1,0
2020-03-19,PB,0,0,1,1.0538735505436125,0.0029023594481751747,0.002025183341515811,4018125.3364018337,0.6097286791518328,0.8338510541661632,0.2200224963774494
2020-03-20,PB,0,0,1,1.1982474976665038,0.03930207033103045,0.02650801054931968,4018124.7527445154,1.0490236481703157,0.7846981756633711,0.4135493220031328
2020-03-21,PB,0,0,1,1.4107324826142622,0.1687011722744752,0.10865346747739264,4018124.1776692774,1.4116324441587322,0.8064946278030833,0.6042378548111789
2020-03-22,PB,0,0,1,1.682765175980447,0.4661682855316107,0.28461081178577524,4018123.5678946013,1.7494000839987922,0.8763275420824784,0.8064376338979686
2020-03-23,PB,1,0,2,2.0129363257172903,1.6734852306382662e-4,9.641107094160934e-5,4018122.893278737,2.0938781680046614,0.982793994392899,1.0301423313243911
2020-03-24,PB,1,0,3,2.4041789478829743,0.3550027261458395,0.19240905088050117,4018122.1287800237,2.4671762667185164,1.1205238544090428,1.2836550934739315
2020-03-25,PB,2,0,5,2.863128195484763,4.566221108932204,2.3232041633336054,4018121.2518700506,2.8851888919939763,1.2886820255212217,1.5744461699635413
2020-03-26,PB,1,0,6,3.3986473410711984,6.767035656115946,3.226553664792667,4018120.240396106,3.3612069622803142,1.4887858545899306,1.9098614864812677
2020-03-27,PB,4,0,10,4.021655002950074,35.740608903751884,15.949185562389552,4018119.0703811995,3.9082905891933235,1.7238029481302561,2.297852054819818
2020-03-28,PB,4,0,14,4.749217635783333,85.5769743501021,35.690493493288315,4018117.708015424,4.543185852722902,1.9995878588497797,2.7496297769335536
2020-03-29,PB,0,0,14,5.601398384830807,70.53650909032258,27.453390715839976,4018116.1151957223,5.2839357165268686,2.323568050694126,3.2778303341366812
2020-03-30,PB,3,0,17,6.582009642219518,108.5345230948071,39.41628923271558,4018114.284681717,6.1339687445365465,2.6971548659054023,3.884854776314116
2020-03-31,PB,1,1,18,7.730767629266337,105.45713348412413,35.69026293436288,4018112.141041686,7.129006473520928,3.1350498812394227,4.595717748026914
2020-04-01,PB,3,1,21,9.059865346048177,142.56681555450123,44.94924126102266,4018109.6611178634,8.280015523317708,3.6417665252291873,5.41809882081899
2020-04-02,PB,8,1,29,10.58075092362091,339.2687365376919,99.69548281441,4018106.8233329374,9.597126811338038,4.221597416895192,6.359153506725717
2020-04-03,PB,3,1,32,12.400571949459348,384.13757990831976,104.93615053059943,4018103.4257363053,11.175159601461255,4.914718875826219,7.485853073633129
2020-04-04,PB,2,3,34,14.466816472339435,381.54525872527006,97.01649825966325,4018099.5674080434,12.967537802253375,5.7014760359176675,8.765340436421766
2020-04-05,PB,1,4,35,16.853759814633868,329.2860328649967,77.93068002374272,4018095.1093503153,15.03899516707117,6.61004900080421,10.243710813829656
