reproductionNumber,reproductionNumberLow,reproductionNumberHigh,date,state
3.0,0.65,7.86,2020-04-28,AC
2.85,1.2,4.59,2020-04-29,AC
2.91,1.61,4.17,2020-04-30,AC
2.73,1.6600000000000001,3.7,2020-05-01,AC
2.5100000000000002,1.6400000000000001,3.34,2020-05-02,AC
2.32,1.54,3.02,2020-05-03,AC
2.11,1.42,2.73,2020-05-04,AC
2.02,1.3800000000000001,2.57,2020-05-05,AC
1.96,1.41,2.49,2020-05-06,AC
1.9000000000000001,1.37,2.37,2020-05-07,AC
1.79,1.3,2.23,2020-05-08,AC
1.69,1.21,2.09,2020-05-09,AC
1.55,1.12,1.95,2020-05-10,AC
1.45,1.02,1.82,2020-05-11,AC
1.34,0.93,1.7,2020-05-12,AC
1.28,0.88,1.6300000000000001,2020-05-13,AC
1.26,0.88,1.61,2020-05-14,AC
1.31,0.92,1.6400000000000001,2020-05-15,AC
1.3900000000000001,1.01,1.71,2020-05-16,AC
1.54,1.19,1.86,2020-05-17,AC
1.67,1.33,1.97,2020-05-18,AC
1.74,1.41,2.02,2020-05-19,AC
1.79,1.47,2.05,2020-05-20,AC
1.77,1.47,2.02,2020-05-21,AC
1.73,1.45,1.97,2020-05-22,AC
1.67,1.42,1.9100000000000001,2020-05-23,AC
1.62,1.3800000000000001,1.85,2020-05-24,AC
1.57,1.31,1.77,2020-05-25,AC
1.51,1.28,1.72,2020-05-26,AC
1.44,1.2,1.6300000000000001,2020-05-27,AC
1.37,1.1400000000000001,1.56,2020-05-28,AC
1.28,1.06,1.47,2020-05-29,AC
1.19,0.97,1.3800000000000001,2020-05-30,AC
1.12,0.9,1.31,2020-05-31,AC
1.1,0.88,1.29,2020-06-01,AC
1.12,0.89,1.3,2020-06-02,AC
1.1500000000000001,0.92,1.33,2020-06-03,AC
1.2,0.99,1.3900000000000001,2020-06-04,AC
1.22,1.01,1.41,2020-06-05,AC
1.23,1.03,1.42,2020-06-06,AC
1.22,1.01,1.4000000000000001,2020-06-07,AC
1.21,0.99,1.3800000000000001,2020-06-08,AC
1.19,0.99,1.37,2020-06-09,AC
1.18,0.97,1.35,2020-06-10,AC
1.1400000000000001,0.93,1.31,2020-06-11,AC
1.1,0.89,1.27,2020-06-12,AC
1.06,0.85,1.23,2020-06-13,AC
1.04,0.8300000000000001,1.21,2020-06-14,AC
1.05,0.84,1.22,2020-06-15,AC
1.08,0.88,1.26,2020-06-16,AC
1.12,0.91,1.29,2020-06-17,AC
1.1300000000000001,0.92,1.3,2020-06-18,AC
1.12,0.9,1.28,2020-06-19,AC
1.08,0.89,1.26,2020-06-20,AC
1.04,0.85,1.22,2020-06-21,AC
1.03,0.8200000000000001,1.2,2020-06-22,AC
1.04,0.8300000000000001,1.21,2020-06-23,AC
1.07,0.85,1.23,2020-06-24,AC
1.08,0.87,1.25,2020-06-25,AC
1.07,0.88,1.25,2020-06-26,AC
1.03,0.84,1.21,2020-06-27,AC
1.01,0.8200000000000001,1.19,2020-06-28,AC
1.01,0.8,1.18,2020-06-29,AC
1.02,0.81,1.19,2020-06-30,AC
1.05,0.84,1.22,2020-07-01,AC
1.06,0.85,1.23,2020-07-02,AC
1.04,0.8300000000000001,1.21,2020-07-03,AC
1.02,0.81,1.19,2020-07-04,AC
0.98,0.77,1.1500000000000001,2020-07-05,AC
0.98,0.77,1.1500000000000001,2020-07-06,AC
1.01,0.8,1.18,2020-07-07,AC
1.04,0.8300000000000001,1.21,2020-07-08,AC
1.06,0.85,1.23,2020-07-09,AC
1.05,0.84,1.22,2020-07-10,AC
1.02,0.81,1.19,2020-07-11,AC
0.98,0.77,1.1500000000000001,2020-07-12,AC
0.96,0.75,1.1300000000000001,2020-07-13,AC
0.9400000000000001,0.74,1.12,2020-07-14,AC
0.9500000000000001,0.74,1.12,2020-07-15,AC
0.9500000000000001,0.73,1.12,2020-07-16,AC
0.9500000000000001,0.73,1.12,2020-07-17,AC
0.9500000000000001,0.73,1.12,2020-07-18,AC
0.96,0.75,1.1400000000000001,2020-07-19,AC
0.98,0.77,1.16,2020-07-20,AC
1.01,0.8,1.19,2020-07-21,AC
1.02,0.81,1.2,2020-07-22,AC
1.03,0.8200000000000001,1.21,2020-07-23,AC
1.0,0.79,1.18,2020-07-24,AC
0.98,0.77,1.16,2020-07-25,AC
0.97,0.76,1.1500000000000001,2020-07-26,AC
0.98,0.77,1.16,2020-07-27,AC
0.98,0.78,1.17,2020-07-28,AC
1.0,0.79,1.18,2020-07-29,AC
0.99,0.78,1.17,2020-07-30,AC
0.99,0.78,1.17,2020-07-31,AC
1.0,0.79,1.18,2020-08-01,AC
1.04,0.8300000000000001,1.22,2020-08-02,AC
1.08,0.87,1.26,2020-08-03,AC
1.1,0.89,1.28,2020-08-04,AC
1.07,0.86,1.25,2020-08-05,AC
1.03,0.8300000000000001,1.21,2020-08-06,AC
0.9500000000000001,0.75,1.1300000000000001,2020-08-07,AC
0.9,0.68,1.07,2020-08-08,AC
0.87,0.66,1.05,2020-08-09,AC
0.89,0.68,1.07,2020-08-10,AC
0.93,0.71,1.11,2020-08-11,AC
0.96,0.74,1.1400000000000001,2020-08-12,AC
0.96,0.74,1.1400000000000001,2020-08-13,AC
0.9400000000000001,0.72,1.12,2020-08-14,AC
0.92,0.71,1.11,2020-08-15,AC
0.92,0.7000000000000001,1.1,2020-08-16,AC
0.9400000000000001,0.73,1.1300000000000001,2020-08-17,AC
0.96,0.75,1.1500000000000001,2020-08-18,AC
0.99,0.76,1.17,2020-08-19,AC
0.99,0.76,1.17,2020-08-20,AC
0.96,0.73,1.1400000000000001,2020-08-21,AC
0.93,0.71,1.12,2020-08-22,AC
0.92,0.6900000000000001,1.1,2020-08-23,AC
0.91,0.6900000000000001,1.1,2020-08-24,AC
0.92,0.7000000000000001,1.11,2020-08-25,AC
3.0,0.65,7.86,2020-04-20,AL
3.0500000000000003,1.33,4.8500000000000005,2020-04-21,AL
2.97,1.62,4.23,2020-04-22,AL
2.7800000000000002,1.69,3.77,2020-04-23,AL
2.5300000000000002,1.6300000000000001,3.36,2020-04-24,AL
2.33,1.54,3.04,2020-04-25,AL
2.27,1.56,2.89,2020-04-26,AL
2.14,1.52,2.71,2020-04-27,AL
2.11,1.54,2.62,2020-04-28,AL
2.05,1.52,2.5100000000000002,2020-04-29,AL
1.92,1.45,2.36,2020-04-30,AL
1.78,1.34,2.19,2020-05-01,AL
1.62,1.18,1.99,2020-05-02,AL
1.48,1.08,1.85,2020-05-03,AL
1.42,1.01,1.76,2020-05-04,AL
1.4000000000000001,1.02,1.74,2020-05-05,AL
1.41,1.04,1.74,2020-05-06,AL
1.44,1.07,1.75,2020-05-07,AL
1.42,1.06,1.72,2020-05-08,AL
1.4000000000000001,1.06,1.7,2020-05-09,AL
1.3900000000000001,1.06,1.68,2020-05-10,AL
1.4000000000000001,1.08,1.68,2020-05-11,AL
1.43,1.11,1.7,2020-05-12,AL
1.5,1.18,1.75,2020-05-13,AL
1.53,1.23,1.78,2020-05-14,AL
1.54,1.25,1.78,2020-05-15,AL
