day,state,suscetivel,exposto,infectado,recuperado
2020-03-12,PE,0.9999947682715761,5.231728423907282e-06,5.231728423907282e-06,0.0
2020-03-13,PE,0.999993644404707,4.705496731009818e-06,6.072134482925206e-06,8.096925032392351e-07
2020-03-14,PE,0.9999923776830357,4.45074823105317e-06,6.6809909904239025e-06,1.7223061669436908e-06
2020-03-15,PE,0.9999910021152525,4.365410149195493e-06,7.150863384248465e-06,2.713339638217613e-06
2020-03-16,PE,0.9999895435965085,4.369629489586298e-06,7.554365448288557e-06,3.764136977769111e-06
2020-03-17,PE,0.9999880107280098,4.433503754157598e-06,7.918995022711108e-06,4.868501637494137e-06
2020-03-18,PE,0.9999864069240105,4.541613596480218e-06,8.259216786542897e-06,6.023974030529706e-06
2020-03-19,PE,0.999984736195614,4.676214595283051e-06,8.591653629202114e-06,7.227664585610314e-06
2020-03-20,PE,0.9999829994932727,4.828831234713381e-06,8.92451514676487e-06,8.478888769890904e-06
2020-03-21,PE,0.9999811961732604,4.9951568724658345e-06,9.262287685071243e-06,9.778110606126692e-06
2020-03-22,PE,0.9999793250763725,5.172006520943616e-06,9.608480011851919e-06,1.112616551873927e-05
2020-03-23,PE,0.9999773843848982,5.357853599120059e-06,9.96512654873906e-06,1.252436337801679e-05
2020-03-24,PE,0.999975371863241,5.5520892366733015e-06,1.033346079844879e-05,1.3974315147918636e-05
2020-03-25,PE,0.9999732850591355,5.754460584132876e-06,1.0714420784552707e-05,1.547778791983558e-05
2020-03-26,PE,0.9999711206897424,5.964962059103728e-06,1.1108929320530526e-05,1.703714730206274e-05
2020-03-27,PE,0.9999688770384189,6.1836368694687575e-06,1.1517422828134593e-05,1.8653630307624575e-05
2020-03-28,PE,0.9999665503828368,6.4106114120197405e-06,1.1940814894759995e-05,2.032991928050613e-05
2020-03-29,PE,0.9999641404174247,6.645850885811174e-06,1.237922570739497e-05,2.2066234406185307e-05
2020-03-30,PE,0.9999616380368669,6.890023263669651e-06,1.2834531137779421e-05,2.386913715569778e-05
2020-03-31,PE,0.9999590464930842,7.142889468864357e-06,1.3306061715691291e-05,2.5736284155332686e-05
2020-04-01,PE,0.9999563606884802,7.404820372065276e-06,1.379487058819687e-05,2.767134898365737e-05
2020-04-02,PE,0.9999535765394133,7.676114047301e-06,1.4301800496945756e-05,2.967727446656786e-05
2020-04-03,PE,0.9999506901722696,7.957053489716878e-06,1.4827650600825332e-05,3.1756852063990516e-05
2020-04-04,PE,0.9999476977134351,8.247921694458251e-06,1.5373220058722983e-05,3.3912873235851714e-05
2020-04-05,PE,0.9999445952892958,8.549001656670468e-06,1.5939308029526095e-05,3.6148129442077825e-05
2020-04-06,PE,0.9999413785554696,8.861753521540758e-06,1.6525667959859067e-05,3.846575147316194e-05
2020-04-07,PE,0.9999380425317634,9.189094172237194e-06,1.7130774023705648e-05,4.086932846474478e-05
2020-04-08,PE,0.9999345837647464,9.529113111515039e-06,1.775750111381153e-05,4.336134945236303e-05
2020-04-09,PE,0.9999309984150035,9.880448595365954e-06,1.8408283186506963e-05,4.5944581638686446e-05
2020-04-10,PE,0.9999272817221068,1.0243144523998634e-05,1.908440584456299e-05,4.862245594873277e-05
2020-04-11,PE,0.9999234290365695,1.0618888188939457e-05,1.9785480393299225e-05,5.139832327242131e-05
2020-04-12,PE,0.9999194340306777,1.1009046523747166e-05,2.0511907096995845e-05,5.427674412559322e-05
2020-04-13,PE,0.999915293282245,1.1413524112412355e-05,2.1264736997318627e-05,5.7260185069303047e-05
2020-04-14,PE,0.9999109984375697,1.1832901808355254e-05,2.204572192148516e-05,6.0354667124557696e-05
2020-04-15,PE,0.9999065480594669,1.2267336493347912e-05,2.285510620514061e-05,6.35612262587767e-05
2020-04-16,PE,0.9999019347442899,1.2717547008147637e-05,2.369423821089605e-05,6.6885198915203e-05
2020-04-17,PE,0.9998971519639263,1.3184151529027144e-05,2.4564322562987128e-05,7.033129040586063e-05
2020-04-18,PE,0.9998921931908407,1.3667770306475815e-05,2.5466561634956068e-05,7.390420564200614e-05
2020-04-19,PE,0.9998870518730907,1.416909445836322e-05,2.6402093258415952e-05,7.760866761669829e-05
2020-04-20,PE,0.9998817214598074,1.4688811984957998e-05,2.7372058104311254e-05,8.144939852754042e-05
2020-04-21,PE,0.9998761954080385,1.5227587900157772e-05,2.8377617778249566e-05,8.543111470716651e-05
2020-04-22,PE,0.999870465213917,1.5786401019324448e-05,2.9420166639754295e-05,8.955994684797958e-05
2020-04-23,PE,0.9998645221719241,1.6366262427704827e-05,3.0501122983680367e-05,9.384217108857122e-05
2020-04-24,PE,0.9998583607458329,1.6967676034904928e-05,3.162152892079869e-05,9.828177763549059e-05
2020-04-25,PE,0.9998519738712549,1.759139029925832e-05,3.2782607949414734e-05,0.00010288385892048718
2020-04-26,PE,0.9998453544838019,1.8238153679098585e-05,3.398558356783397e-05,0.00010765350737531046
2020-04-27,PE,0.9998384894722318,1.8908648437132103e-05,3.52334300170382e-05,0.00011260017773812353
2020-04-28,PE,0.9998313729301553,1.960363570844538e-05,3.652703552043207e-05,0.00011772812703986574
2020-04-29,PE,0.9998239967719922,2.032385277226276e-05,3.7867919241524915e-05,0.0001230431844180472
2020-04-30,PE,0.9998163493070285,2.1070443445208667e-05,3.9258197943441046e-05,0.00012855378000690442
2020-05-01,PE,0.9998084197769982,2.1844443622824164e-05,4.069983659704674e-05,0.000134267671205982
2020-05-02,PE,0.999800200264041,2.264656045348012e-05,4.219433778649259e-05,0.00014019056614308502
2020-05-03,PE,0.99979168017083,2.3477837036743922e-05,4.374361420441343e-05,0.00014633010635279757
