day,state,suscetivel,infectado,recuperado
2020-03-18,TO,0.9999990969304484,9.030695516126677e-07,0.0
2020-03-19,TO,0.9999984045221748,1.5345918458408878e-06,6.088597941558104e-08
2020-03-20,TO,0.9999981603633846,1.7017476226916167e-06,1.378889927010578e-07
2020-03-21,TO,0.9999978897055725,1.8870451149478863e-06,2.2324931260254288e-07
2020-03-22,TO,0.9999975895277732,2.092552525401003e-06,3.179197014481383e-07
2020-03-23,TO,0.9999972566480717,2.3204482445790837e-06,4.2290368371594473e-07
2020-03-24,TO,0.9999968875149188,2.5731637192042997e-06,5.39321361996577e-07
2020-03-25,TO,0.9999964781919111,2.853393871525025e-06,6.684142174750581e-07
2020-03-26,TO,0.9999960243120676,3.164128401382176e-06,8.115595310174532e-07
2020-03-27,TO,0.9999955210053634,3.5087013977910236e-06,9.702932388740597e-07
2020-03-28,TO,0.9999949628825715,3.8908023991976475e-06,1.1463150293040504e-06
2020-03-29,TO,0.9999943439652239,4.314524342735602e-06,1.3415104333835228e-06
2020-03-30,TO,0.9999936576531987,4.784385753022155e-06,1.5579610482358628e-06
2020-03-31,TO,0.999992896602219,5.3054146062572235e-06,1.7979831746964317e-06
2020-04-01,TO,0.9999920526625895,5.883190269441859e-06,2.0641471409777426e-06
2020-04-02,TO,0.9999911168280454,6.523878517807626e-06,2.3592934366998744e-06
2020-04-03,TO,0.99999007907132,7.2343441018249255e-06,2.6865845781887833e-06
2020-04-04,TO,0.9999889283282231,8.0221616462753e-06,3.049510130595987e-06
2020-04-05,TO,0.9999876522827138,8.895762783137625e-06,3.4519545029808253e-06
2020-04-06,TO,0.9999862372620836,9.864507907040215e-06,3.898230009321843e-06
2020-04-07,TO,0.9999846681353574,1.093875572078991e-05,4.393108921800396e-06
2020-04-08,TO,0.9999829281389437,1.2129982591532743e-05,4.941878464678151e-06
2020-04-09,TO,0.999980998651102,1.3450936934031132e-05,5.550411963838311e-06
2020-04-10,TO,0.9999788590612366,1.491572868676729e-05,6.225210076491802e-06
2020-04-11,TO,0.9999764864681913,1.654003583316896e-05,6.9734959754086965e-06
2020-04-12,TO,0.999973855520866,1.8341213506627308e-05,7.803265627215356e-06
2020-04-13,TO,0.9999709380633682,2.0338536879045684e-05,8.723399752520422e-06
2020-04-14,TO,0.9999677029269213,2.255334360540944e-05,9.74372947318065e-06
2020-04-15,TO,0.9999641155006781,2.5009327582477316e-05,1.0875171739197475e-05
2020-04-16,TO,0.9999601374419054,2.7732737326707957e-05,1.2129820767726206e-05
2020-04-17,TO,0.9999557262305397,3.075268084658238e-05,1.3521088613540045e-05
2020-04-18,TO,0.9999508346863987,3.4101456079938346e-05,1.5063857521280993e-05
2020-04-19,TO,0.9999454104969686,3.7814874079128325e-05,1.677462895210137e-05
2020-04-20,TO,0.999939395679169,4.1932627354005595e-05,1.8671693476848003e-05
2020-04-21,TO,0.9999327259401853,4.649872731613616e-05,2.0775332498445305e-05
2020-04-22,TO,0.9999253299681187,5.1561989664870985e-05,2.310804221639625e-05
2020-04-23,TO,0.9999171287285487,5.7176515789284347e-05,2.569475566194994e-05
2020-04-24,TO,0.9999080345470358,6.340232052512391e-05,2.856313243905394e-05
2020-04-25,TO,0.9998979502292175,7.030593424265009e-05,3.1743836539907445e-05
2020-04-26,TO,0.9998867680026827,7.796112675685201e-05,3.527087056050608e-05
2020-04-27,TO,0.9998743683544277,8.644970264645586e-05,3.91819429258877e-05
2020-04-28,TO,0.9998606188200607,9.586232957531452e-05,4.3518850363985607e-05
2020-04-29,TO,0.9998453724524176,0.00010629958565914596,4.832796192330962e-05
2020-04-30,TO,0.9998284664166841,0.00011787292049513443,5.366066282074166e-05
2020-05-01,TO,0.9998097200778084,0.00013070596289171732,5.957395929981247e-05
2020-05-02,TO,0.9997889332506795,0.00014493571763208967,6.613103168826294e-05
2020-05-03,TO,0.9997658839657002,0.0001607140929532311,7.340194134643874e-05
2020-05-04,TO,0.9997403260883589,0.00017820952779371704,8.146438384729065e-05
2020-05-05,TO,0.9997119867587301,0.0001976087418705624,9.040449939929181e-05
