epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,day,totalCasesPred
11,2020-03-12,Brazil,PR,TOTAL,0,0,6,6,0,6,0.0,0.05248,0.0,,,,,0,35.52652588440574
11,2020-03-13,Brazil,PR,TOTAL,0,0,0,6,0,6,0.0,0.05248,0.0,,,,,1,43.233112646655684
11,2020-03-14,Brazil,PR,TOTAL,0,0,0,6,0,6,0.0,0.05248,0.0,,,,,2,51.058272315212
12,2020-03-15,Brazil,PR,TOTAL,0,0,0,6,0,6,0.0,0.05248,0.0,,,,,3,59.00369962051599
12,2020-03-16,Brazil,PR,TOTAL,0,0,0,6,0,6,0.0,0.05248,0.0,,,,,4,67.07144343998627
12,2020-03-17,Brazil,PR,TOTAL,0,0,6,12,0,6,0.0,0.10495,0.0,,,,,5,75.26337067251242
12,2020-03-18,Brazil,PR,TOTAL,0,0,3,15,0,13,0.0,0.13119,0.0,,,,,6,83.58134275917847
12,2020-03-19,Brazil,PR,TOTAL,0,0,9,24,0,23,0.0,0.2099,0.0,,,,,7,92.02730541494694
12,2020-03-20,Brazil,PR,TOTAL,0,0,13,37,0,32,0.0,0.3236,0.0,,,,,8,100.60322049856148
12,2020-03-21,Brazil,PR,TOTAL,0,0,7,44,0,43,0.0,0.38482,0.0,,,,,9,109.31108766666493
13,2020-03-22,Brazil,PR,TOTAL,0,0,10,54,0,50,0.0,0.47228000000000003,0.0,,,,,10,118.15293434960522
13,2020-03-23,Brazil,PR,TOTAL,0,0,6,60,0,56,0.0,0.52475,0.0,,,,,11,127.13082075874738
13,2020-03-24,Brazil,PR,TOTAL,0,0,10,70,0,65,0.0,0.61221,0.0,,1844.0,,,12,136.24683630899224
13,2020-03-25,Brazil,PR,TOTAL,0,0,27,97,0,81,0.0,0.84835,0.0,7.0,3588.0,,,13,145.5031067056453
13,2020-03-26,Brazil,PR,TOTAL,0,0,9,106,0,102,0.0,0.92706,0.0,7.0,3487.0,,,14,154.9017832884796
13,2020-03-27,Brazil,PR,TOTAL,2,2,19,125,2,119,0.017490000000000002,1.09323,0.016,7.0,1078.0,,,15,164.4450597693838
13,2020-03-28,Brazil,PR,TOTAL,0,2,12,137,2,133,0.017490000000000002,1.1981899999999999,0.0146,7.0,968.0,,,16,174.1351670338558
14,2020-03-29,Brazil,PR,TOTAL,0,2,15,152,2,148,0.017490000000000002,1.3293700000000002,0.01316,7.0,968.0,,,17,183.97436077423126
14,2020-03-30,Brazil,PR,TOTAL,1,3,8,160,3,155,0.02624,1.39934,0.01875,7.0,484.0,,,18,193.96492914303823
14,2020-03-31,Brazil,PR,TOTAL,0,3,25,185,3,179,0.02624,1.61799,0.01622,7.0,521.0,,,19,204.10919712205524
14,2020-04-01,Brazil,PR,TOTAL,0,3,44,229,3,224,0.02624,2.0028099999999998,0.0131,7.0,521.0,,,20,214.40952574761732
14,2020-04-02,Brazil,PR,TOTAL,1,4,29,258,4,252,0.034980000000000004,2.25644,0.0155,7.0,521.0,,,21,226.18600738105684
14,2020-04-03,Brazil,PR,TOTAL,1,5,49,307,4,301,0.04373,2.68498,0.01629,7.0,521.0,,,22,239.10773879043137
14,2020-04-04,Brazil,PR,TOTAL,2,7,94,401,6,395,0.061220000000000004,3.5071,0.01746,7.0,521.0,,,23,252.70514107091705
15,2020-04-05,Brazil,PR,TOTAL,3,10,44,445,9,438,0.08746,3.89192,0.02247,7.0,183.0,,,24,267.0133504958841
15,2020-04-06,Brazil,PR,TOTAL,4,14,21,466,11,458,0.12244000000000001,4.07558,0.030039999999999997,7.0,156.0,,,25,282.0695449766175
15,2020-04-07,Brazil,PR,TOTAL,1,15,45,511,15,503,0.13119,4.46914,0.02935,121.0,286.0,,,26,297.91279522441664
15,2020-04-08,Brazil,PR,TOTAL,2,17,39,550,17,539,0.14868,4.810230000000001,0.030910000000000003,121.0,333.0,,,27,314.58429438730525
15,2020-04-09,Brazil,PR,TOTAL,7,24,71,621,22,609,0.2099,5.43119,0.03865,121.0,346.0,,,28,332.1273079569615
