reproductionNumber,reproductionNumberLow,reproductionNumberHigh,date,state
3.0,0.65,7.86,2020-04-28,AC
2.42,1.1500000000000001,3.71,2020-04-29,AC
2.41,1.42,3.3000000000000003,2020-04-30,AC
2.2600000000000002,1.49,2.97,2020-05-01,AC
2.09,1.43,2.67,2020-05-02,AC
1.96,1.3900000000000001,2.46,2020-05-03,AC
1.8,1.29,2.24,2020-05-04,AC
1.73,1.27,2.13,2020-05-05,AC
1.69,1.26,2.05,2020-05-06,AC
1.6400000000000001,1.25,1.98,2020-05-07,AC
1.56,1.19,1.87,2020-05-08,AC
1.49,1.1400000000000001,1.78,2020-05-09,AC
1.3900000000000001,1.06,1.67,2020-05-10,AC
1.31,1.01,1.59,2020-05-11,AC
1.23,0.92,1.49,2020-05-12,AC
1.18,0.9,1.45,2020-05-13,AC
1.17,0.89,1.43,2020-05-14,AC
1.21,0.93,1.46,2020-05-15,AC
1.27,0.99,1.51,2020-05-16,AC
1.3900000000000001,1.12,1.62,2020-05-17,AC
1.49,1.23,1.71,2020-05-18,AC
1.54,1.3,1.75,2020-05-19,AC
1.57,1.34,1.77,2020-05-20,AC
1.56,1.33,1.74,2020-05-21,AC
1.53,1.31,1.7,2020-05-22,AC
1.48,1.28,1.6500000000000001,2020-05-23,AC
1.44,1.24,1.6,2020-05-24,AC
1.4000000000000001,1.2,1.55,2020-05-25,AC
1.36,1.16,1.5,2020-05-26,AC
1.3,1.11,1.44,2020-05-27,AC
1.24,1.07,1.3900000000000001,2020-05-28,AC
1.17,0.99,1.31,2020-05-29,AC
1.1,0.92,1.24,2020-05-30,AC
1.04,0.86,1.18,2020-05-31,AC
1.03,0.85,1.17,2020-06-01,AC
1.04,0.87,1.19,2020-06-02,AC
1.07,0.9,1.22,2020-06-03,AC
1.12,0.9500000000000001,1.27,2020-06-04,AC
1.1400000000000001,0.97,1.29,2020-06-05,AC
1.1500000000000001,0.97,1.29,2020-06-06,AC
1.1400000000000001,0.96,1.28,2020-06-07,AC
