day,state,suscetivel,exposto,infectadoA,infectadoS,recuperado
2020-02-25,TOTAL,0.9999995714569498,2.0746356186516314e-07,1.916483285619494e-07,2.368947215527726e-07,0.0
2020-02-26,TOTAL,0.9999991360029592,5.197138728216353e-07,2.39025410720448e-07,1.9202035147474428e-07,1.2070096772018484e-07
2020-02-27,TOTAL,0.999998734629396,7.147002693528381e-07,3.3786920990375666e-07,1.6777287848268962e-07,2.524918081344827e-07
2020-02-28,TOTAL,0.9999983268218001,8.610886223107736e-07,4.534618314196217e-07,1.5574626372160182e-07,4.1034504429403906e-07
2020-02-29,TOTAL,0.9999978921557078,9.897541101129457e-07,5.738946341751637e-07,1.517278818931107e-07,5.999312279331225e-07
2020-03-01,TOTAL,0.9999974181216124,1.1162404873094684e-06,6.957628951213462e-07,1.5338591419867716e-07,8.239526529810292e-07
2020-03-02,TOTAL,0.9999968959088542,1.2485224547856528e-06,8.194520125144443e-07,1.594257187869943e-07,1.0841545216724732e-06
2020-03-03,TOTAL,0.9999963179728371,1.3913447491967341e-06,9.467083165129309e-07,1.6908789996232947e-07,1.3823497592492664e-06
2020-03-04,TOTAL,0.9999956768203049,1.5480069720432441e-06,1.0798306375056961e-06,1.81933039860072e-07,1.720872607557315e-06
2020-03-05,TOTAL,0.9999949649579509,1.7210527601027378e-06,1.2211535015240583e-06,1.9774269264687675e-07,2.1025566566491676e-06
2020-03-06,TOTAL,0.9999941741035262,1.9128882455666968e-06,1.3730674460649055e-06,2.164350905594758e-07,2.5309692534940575e-06
2020-03-07,TOTAL,0.9999932913256655,2.1267760524959603e-06,1.538842067909916e-06,2.3812289146684652e-07,3.0123968845491025e-06
2020-03-08,TOTAL,0.9999923115742927,2.3639548975788677e-06,1.7197084378868698e-06,2.628698120246824e-07,3.5493561216650088e-06
2020-03-09,TOTAL,0.9999912226569776,2.6274340068897284e-06,1.9183623964895873e-06,2.9087857034990663e-07,4.148131610564814e-06
2020-03-10,TOTAL,0.999990011054215,2.920550143115177e-06,2.1377932106414456e-06,3.223739492377461e-07,4.815692043805837e-06
2020-03-11,TOTAL,0.9999886747379592,3.2438034592957616e-06,2.3783933721168834e-06,3.5740081332731454e-07,5.553127958033005e-06
2020-03-12,TOTAL,0.9999871695028468,3.608095764031893e-06,2.648712654934673e-06,3.9693814973211235e-07,6.384214146414502e-06
2020-03-13,TOTAL,0.9999855123511425,4.009539483395909e-06,2.9456069954614494e-06,4.406573501733751e-07,7.299308590265282e-06
2020-03-14,TOTAL,0.9999836674606897,4.45891514598582e-06,3.2769244023629377e-06,4.89657097629441e-07,8.314506226173046e-06
2020-03-15,TOTAL,0.9999816062400447,4.9645539816105444e-06,3.64879964275188e-06,5.447714333064869e-07,9.443098459369195e-06
2020-03-16,TOTAL,0.999979301555624,5.534652761998256e-06,4.066398121895622e-06,6.066949096326259e-07,1.0698162144192355e-05
2020-03-17,TOTAL,0.9999767212020101,6.184391610031799e-06,4.525305330788228e-06,6.748417307793559e-07,1.2101722880094795e-05
2020-03-18,TOTAL,0.999973846527086,6.904348923912777e-06,5.0394527858775845e-06,7.512844212639867e-07,1.3665850344707292e-05
2020-03-19,TOTAL,0.9999706457620083,7.699514034011202e-06,5.617380017156837e-06,8.372691385916297e-07,1.5407538363624853e-05
2020-03-20,TOTAL,0.9999670758751156,8.586369923706771e-06,6.261834737718257e-06,9.331947233805845e-07,1.7350189061381234e-05
