day,state,suscetivel,exposto,infectadoS,infectadoA,recuperado
2020-03-10,RS,0.9999912732461023,4.394739356350593e-06,4.394739356358778e-06,4.332014541380789e-06,0.0
2020-03-11,RS,0.9999833815704914,9.825362435046739e-06,3.5971421439067254e-06,4.907380653897709e-06,2.6832836321074492e-06
2020-03-12,RS,0.9999765878484063,1.2799565663835153e-05,3.2508548647675332e-06,6.251837352472901e-06,5.504633069071325e-06
2020-03-13,RS,0.9999702341816489,1.4568442602447628e-05,3.129637024958992e-06,7.758660808709653e-06,8.703817271453994e-06
2020-03-14,RS,0.9999639945790034,1.5745267920717874e-05,3.1227135137049342e-06,9.190028641143371e-06,1.2342150277494338e-05
2020-03-15,RS,0.99995770115554,1.6639181772377743e-05,3.1743736128430075e-06,1.0470576530339438e-05,1.640945190084053e-05
2020-03-16,RS,0.9999512709831911,1.7395646273948747e-05,3.2585461362270598e-06,1.1600678883038055e-05,2.0868884872019734e-05
2020-03-17,RS,0.9999446527483188,1.809813115919485e-05,3.360406519264133e-06,1.2599443357863197e-05,2.5684010001191488e-05
2020-03-18,RS,0.999937820337024,1.8782697005650524e-05,3.4736939847643728e-06,1.349279507285512e-05,3.0825216269024896e-05
2020-03-19,RS,0.999930753547238,1.947287685730659e-05,3.594437995659736e-06,1.4306059292076952e-05,3.626781797324301e-05
2020-03-20,RS,0.9999234388887669,2.0178791895039257e-05,3.7211059840561726e-06,1.5062795422745327e-05,4.199315728751038e-05
2020-03-21,RS,0.9999158653932334,2.0905065268372918e-05,3.853173232647447e-06,1.578264999279932e-05,4.7988457629004246e-05
2020-03-22,RS,0.999908020182824,2.1654778912226767e-05,3.990493078085168e-06,1.6482716766328642e-05,5.424656777562049e-05
2020-03-23,RS,0.9998998968609769,2.2429064914436804e-05,4.133072453088458e-06,1.7170034631347367e-05,6.0765706380538635e-05
2020-03-24,RS,0.9998914819666426,2.3230414124112206e-05,4.2809042272779e-06,1.7856310428330448e-05,6.7545143933939e-05
2020-03-25,RS,0.9998827682284682,2.4060063289113093e-05,4.434006300837752e-06,1.854678286856992e-05,7.458565842947211e-05
2020-03-26,RS,0.9998737410102633,2.4920169374970225e-05,4.592481194674824e-06,1.9248679954378158e-05,8.189239856887253e-05
2020-03-27,RS,0.9998643921004085,2.5811553683437377e-05,4.756464180702378e-06,1.9964763529044732e-05,8.946985755443348e-05
2020-03-28,RS,0.9998547073893679,2.673540647549663e-05,4.9262318640128155e-06,2.069904424277802e-05,9.732666740594707e-05
2020-03-29,RS,0.9998446776696395,2.7692310862770135e-05,5.102003392946691e-06,2.1453539081444167e-05,0.00010546921637950466
2020-03-30,RS,0.9998342890890267,2.868312551083342e-05,5.284112175722581e-06,2.2231224845853732e-05,0.0001139071877969838
2020-03-31,RS,0.999823529800978,2.970875366848792e-05,5.472809426291493e-06,2.3033892135860803e-05,0.00012264948314743223
2020-04-01,RS,0.9998123869524315,3.0770180567579286e-05,5.66836665047713e-06,2.3863465923914893e-05,0.00013170577378270325
2020-04-02,RS,0.9998008440273458,3.186908728615976e-05,5.871049489224251e-06,2.4721550165702295e-05,0.00014108902506922147
2020-04-03,RS,0.9997888888885116,3.300670932277851e-05,6.081053131508276e-06,2.560932331947208e-05,0.0001508087650708408
2020-04-04,RS,0.9997765086481709,3.418446984946641e-05,6.298562373560637e-06,2.6527806183159362e-05,0.0001608752527791035
2020-04-05,RS,0.9997636830672282,3.54046038333553e-05,6.523867421691161e-06,2.74786018305906e-05,0.00017130459904245607
2020-04-06,RS,0.999750413328219,3.666698411080093e-05,6.756950661287371e-06,2.846162817563995e-05,0.00018209584818948266
2020-04-07,RS,0.9997366449693984,3.797749424695349e-05,6.998618132062519e-06,2.9480757191234567e-05,0.00019329290038761353
2020-04-08,RS,0.9997224022755257,3.933349762337331e-05,7.248512955616779e-06,3.053425785178017e-05,0.0002048761953998327
2020-04-09,RS,0.9997076577116876,4.073786058360119e-05,7.507063623696607e-06,3.1624050635494937e-05,0.00021686805282584984
2020-04-10,RS,0.9996923875458714,4.219307541724292e-05,7.77463522178087e-06,3.275179826112854e-05,0.0002292876845846202
