day,state,suscetivel,exposto,infectado,recuperado
2020-02-25,TOTAL,0.9999999999641371,4.2540613218621536e-08,3.5862857878681285e-11,0.0
2020-02-26,TOTAL,0.9999999948520589,3.937521951675247e-08,7.793470517192342e-09,5.198641544898344e-10
2020-02-27,TOTAL,0.999999979676377,4.659435145101306e-08,1.4206755116474447e-08,2.0631295108591865e-09
2020-02-28,TOTAL,0.9999999561007574,5.9479571819118976e-08,2.249967148298929e-08,4.460612425516704e-09
2020-02-29,TOTAL,0.9999999236719862,7.703203673694005e-08,3.4078188380088555e-08,7.758401766435982e-09
2020-03-01,TOTAL,0.9999998750985462,1.0545218751057972e-07,4.9291883133289907e-08,1.2697996304598298e-08
2020-03-02,TOTAL,0.9999998056445957,1.4881128995201277e-07,6.832372778803093e-08,1.9760999640929308e-08
2020-03-03,TOTAL,0.9999997059663183,2.1259562630570367e-07,9.408105224460468e-08,2.9897616198222046e-08
2020-03-04,TOTAL,0.9999995681839798,2.99531892072763e-07,1.309155777003482e-07,4.390916351051748e-08
2020-03-05,TOTAL,0.9999993760732512,4.201757749045798e-07,1.8284603712931048e-07,6.344554996940946e-08
2020-03-06,TOTAL,0.9999990976764406,5.947212457499577e-07,2.5838625902117996e-07,9.175666779365483e-08
2020-03-07,TOTAL,0.9999987140597514,8.350603375944931e-07,3.6265256033511715e-07,1.307679637449649e-07
2020-03-08,TOTAL,0.999998172045961,1.1745839112193599e-06,5.100235080729244e-07,1.8588723281103812e-07
2020-03-09,TOTAL,0.9999974160303007,1.648167742853975e-06,7.155734216353781e-07,2.6276914799084034e-07
2020-03-10,TOTAL,0.9999963569344036,2.311631096247051e-06,1.0035026493663862e-06,3.7047246395496305e-07
2020-03-11,TOTAL,0.9999948757739673,3.2394864260795247e-06,1.4061829690901914e-06,5.210972506352839e-07
2020-03-12,TOTAL,0.9999927956795852,4.542504027514422e-06,1.9717267239423218e-06,7.326302765334749e-07
2020-03-13,TOTAL,0.999989890447617,6.362376776376604e-06,2.761640681325289e-06,1.0280755385296706e-06
2020-03-14,TOTAL,0.999985827400644,8.907237433970954e-06,3.866558662389754e-06,1.4413438728148842e-06
2020-03-15,TOTAL,0.9999839291027409,8.96814856860904e-06,5.131653126933355e-06,2.013636176463211e-06
2020-03-16,TOTAL,0.9999825130136323,8.627775919659121e-06,6.178205216727542e-06,2.7235458441838164e-06
2020-03-17,TOTAL,0.9999808553649853,8.56896309655675e-06,7.063657827467355e-06,3.5545547035594745e-06
2020-03-18,TOTAL,0.9999789859378451,8.71748081150616e-06,7.847388459430165e-06,4.491733496938852e-06
2020-03-19,TOTAL,0.9999769298498397,9.004872173771068e-06,8.585327673472884e-06,5.522490926032589e-06
2020-03-20,TOTAL,0.9999746941911477,9.400781468966213e-06,9.30429490195928e-06,6.6432730943392575e-06
2020-03-21,TOTAL,0.9999722785571924,9.885959036658308e-06,1.0023740858710733e-05,7.854283525239622e-06
2020-03-22,TOTAL,0.9999696818111204,1.0453192731609441e-05,1.0751444276534957e-05,9.156092484452783e-06
2020-03-23,TOTAL,0.9999668976017055,1.108352606659525e-05,1.1509527679036574e-05,1.05518851617998e-05
2020-03-24,TOTAL,0.9999639196020725,1.1776155594474488e-05,1.2301949031929292e-05,1.204483391412008e-05
2020-03-25,TOTAL,0.9999607399519751,1.2528452254367276e-05,1.3135256363774517e-05,1.3638880019887303e-05
2020-03-26,TOTAL,0.999957340877144,1.3339108937313614e-05,1.4019618709407093e-05,1.5342935822320806e-05
2020-03-27,TOTAL,0.9999537196276727,1.4209288413653688e-05,1.4955244321949242e-05,1.7158380204856684e-05
2020-03-28,TOTAL,0.9999498574356809,1.5140545053734718e-05,1.594993609192181e-05,1.909462378660283e-05
2020-03-29,TOTAL,0.9999457377696912,1.613477403357149e-05,1.7010041017642904e-05,2.1159955870702386e-05
2020-03-30,TOTAL,0.9999413444235872,1.7196351323443904e-05,1.8139262897169468e-05,2.3362502805412988e-05
2020-03-31,TOTAL,0.99993666041983,1.8329021308697388e-05,1.9342321728266795e-05,2.5710777746206795e-05
2020-04-01,TOTAL,0.9999316653583372,1.953843128545648e-05,2.0623740607423318e-05,2.8215010383000917e-05
2020-04-02,TOTAL,0.9999263177726627,2.0834557955440687e-05,2.1994215391999605e-05,3.089599460282194e-05
2020-04-03,TOTAL,0.999920658442353,2.2208152603959276e-05,2.3442664985022197e-05,3.373328067104779e-05
2020-04-04,TOTAL,0.999914605602528,2.367731708777088e-05,2.499174943664741e-05,3.6767871560683456e-05
2020-04-05,TOTAL,0.9999081466121524,2.5244606391863183e-05,2.664521503589359e-05,4.000610703291197e-05
2020-04-06,TOTAL,0.9999012614385775,2.6914819458428773e-05,2.8408248805782163e-05,4.345803377138572e-05
