day,state,suscetivel,infectado,recuperado
2020-03-06,BA,0.9999966382179221,3.3617820779901165e-06,0.0
2020-03-07,BA,0.9999960290869306,3.4818599616805113e-06,4.890531077312676e-07
2020-03-08,BA,0.9999953980377498,3.606258253038653e-06,9.957039971169253e-07
2020-03-09,BA,0.9999947447650558,3.7350371265382696e-06,1.5201978176795772e-06
2020-03-10,BA,0.9999940678051102,3.8684850615546814e-06,2.0637098282427752e-06
2020-03-11,BA,0.9999933687852179,4.006281352039796e-06,2.624933430063035e-06
2020-03-12,BA,0.9999926412557014,4.149697091861032e-06,3.209047206723459e-06
2020-03-13,BA,0.9999918888698269,4.298012300178361e-06,3.813117872922399e-06
2020-03-14,BA,0.9999911105456544,4.451440197694629e-06,4.438014147877704e-06
2020-03-15,BA,0.9999903046497183,4.61030268149362e-06,5.085047600175226e-06
2020-03-16,BA,0.9999894700345203,4.774825890350642e-06,5.755139589359789e-06
2020-03-17,BA,0.9999886055962793,4.945227348677009e-06,6.449176371988617e-06
2020-03-18,BA,0.9999877102312145,5.121724580884031e-06,7.168044204618932e-06
2020-03-19,BA,0.9999867828355448,5.304535111383019e-06,7.912629343807958e-06
2020-03-20,BA,0.9999858223054893,5.493876464585285e-06,8.683818046112918e-06
2020-03-21,BA,0.9999848275268205,5.689968221665963e-06,9.482504957712561e-06
2020-03-22,BA,0.9999837969931067,5.89310718403208e-06,1.0309899709185743e-05
2020-03-23,BA,0.9999827292866476,6.103572682883043e-06,1.1167140669438954e-05
2020-03-24,BA,0.9999816231563187,6.321611252759718e-06,1.2055232428502787e-05
2020-03-25,BA,0.9999804773509953,6.547469428202966e-06,1.2975179576407842e-05
2020-03-26,BA,0.9999792906195529,6.781393743753651e-06,1.3927986703184714e-05
2020-03-27,BA,0.9999780617108671,7.023630733952636e-06,1.4914658398864006e-05
2020-03-28,BA,0.9999767893738131,7.2744269333407854e-06,1.5936199253476313e-05
2020-03-29,BA,0.9999754719906732,7.534101067501314e-06,1.6993908259208794e-05
2020-03-30,BA,0.999974107108401,7.803136358374387e-06,1.8089755240538266e-05
2020-03-31,BA,0.9999726930554441,8.081862132860624e-06,1.9225082422864825e-05
2020-04-01,BA,0.999971228215862,8.370596766584058e-06,2.0401187371207745e-05
2020-04-02,BA,0.9999697109737141,8.669658635168733e-06,2.1619367650586323e-05
2020-04-03,BA,0.9999681397130595,8.97936611423868e-06,2.288092082601984e-05
2020-04-04,BA,0.9999665128179579,9.300037579417943e-06,2.4187144462527577e-05
2020-04-05,BA,0.9999648210796769,9.633486161975436e-06,2.554543416097034e-05
2020-04-06,BA,0.999963079960091,9.976668211782304e-06,2.6943371697026564e-05
2020-04-07,BA,0.9999612746421421,1.0332500943772944e-05,2.839285691396426e-05
2020-04-08,BA,0.9999594033968459,1.070132498791199e-05,2.9895278166067875e-05
2020-04-09,BA,0.9999574644298193,1.1083493848901648e-05,3.14520763316658e-05
2020-04-10,BA,0.9999554558812805,1.1479373906181698e-05,3.306474481313033e-05
