epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,day,totalCasesPred
11,2020-03-10,Brazil,RS,TOTAL,0,0,1,1,0,1,0.0,0.008790000000000001,0.0,,,,,0,12.242140745177034
11,2020-03-11,Brazil,RS,TOTAL,0,0,1,2,0,2,0.0,0.017580000000000002,0.0,,,,,1,13.836875619623447
11,2020-03-12,Brazil,RS,TOTAL,0,0,2,4,0,4,0.0,0.035160000000000004,0.0,,,,,2,16.386380592014092
11,2020-03-13,Brazil,RS,TOTAL,0,0,0,4,0,4,0.0,0.035160000000000004,0.0,,,,,3,19.752026947661832
11,2020-03-14,Brazil,RS,TOTAL,0,0,2,6,0,6,0.0,0.052739999999999995,0.0,,,,,4,23.92645809714486
12,2020-03-15,Brazil,RS,TOTAL,0,0,0,6,0,6,0.0,0.052739999999999995,0.0,,,,,5,28.989164908376477
12,2020-03-16,Brazil,RS,TOTAL,0,0,2,8,0,6,0.0,0.07032000000000001,0.0,,,,,6,35.06116273563027
12,2020-03-17,Brazil,RS,TOTAL,0,0,2,10,0,10,0.0,0.08789,0.0,,,,,7,42.295215265945146
12,2020-03-18,Brazil,RS,TOTAL,0,0,9,19,0,19,0.0,0.167,0.0,,,,,8,50.89300547100079
12,2020-03-19,Brazil,RS,TOTAL,0,0,12,31,0,28,0.0,0.27247,0.0,,,,,9,61.08810256623447
12,2020-03-20,Brazil,RS,TOTAL,0,0,12,43,0,37,0.0,0.37795,0.0,,,,,10,73.19325212572954
12,2020-03-21,Brazil,RS,TOTAL,0,0,26,69,0,60,0.0,0.60647,0.0,,,,,11,87.57971041383153
13,2020-03-22,Brazil,RS,TOTAL,0,0,8,77,0,72,0.0,0.67679,0.0,,,,,12,104.64549146243316
13,2020-03-23,Brazil,RS,TOTAL,0,0,19,96,0,86,0.0,0.8437899999999999,0.0,,132.0,,,13,124.9047469181717
13,2020-03-24,Brazil,RS,TOTAL,0,0,16,112,0,98,0.0,0.9844200000000001,0.0,3.0,132.0,,,14,148.89870964820227
13,2020-03-25,Brazil,RS,TOTAL,1,1,50,162,1,123,0.008790000000000001,1.4239,0.00617,3.0,132.0,,,15,176.93186800160925
13,2020-03-26,Brazil,RS,TOTAL,0,1,28,190,1,168,0.008790000000000001,1.67,0.00526,3.0,258.0,,,16,205.95840335482572
13,2020-03-27,Brazil,RS,TOTAL,1,2,7,197,2,195,0.017580000000000002,1.73153,0.01015,3.0,258.0,,,17,235.63507657848962
13,2020-03-28,Brazil,RS,TOTAL,0,2,3,200,2,197,0.017580000000000002,1.7579,0.01,3.0,258.0,,,18,266.36139485857143
14,2020-03-29,Brazil,RS,TOTAL,0,2,30,230,2,226,0.017580000000000002,2.0215799999999997,0.0087,3.0,258.0,,,19,298.4354180788065
14,2020-03-30,Brazil,RS,TOTAL,2,4,24,254,3,241,0.035160000000000004,2.23253,0.01575,3.0,258.0,,,20,332.0344279330059
14,2020-03-31,Brazil,RS,TOTAL,0,4,51,305,4,274,0.035160000000000004,2.68079,0.01311,3.0,258.0,,,21,367.3288415952339
14,2020-04-01,Brazil,RS,TOTAL,1,5,11,316,4,306,0.04395,2.7774799999999997,0.015819999999999997,3.0,258.0,,,22,404.4478424119861
14,2020-04-02,Brazil,RS,TOTAL,0,5,70,386,5,334,0.04395,3.3927400000000003,0.01295,3.0,258.0,,,23,443.5156972792976
14,2020-04-03,Brazil,RS,TOTAL,1,6,24,410,5,396,0.052739999999999995,3.6036900000000003,0.01463,3.0,258.0,,,24,484.65330868884996
14,2020-04-04,Brazil,RS,TOTAL,1,7,8,418,6,410,0.061529999999999994,3.674,0.01675,3.0,258.0,,,25,527.9719366765701
15,2020-04-05,Brazil,RS,TOTAL,0,7,50,468,7,418,0.061529999999999994,4.11348,0.01496,3.0,,,,26,573.6247340306852
15,2020-04-06,Brazil,RS,TOTAL,1,8,33,501,7,481,0.07032000000000001,4.40353,0.015969999999999998,3.0,,,,27,621.6960785452015
15,2020-04-07,Brazil,RS,TOTAL,0,8,54,555,8,508,0.07032000000000001,4.87816,0.01441,3.0,,,,28,672.3454379981366
15,2020-04-08,Brazil,RS,TOTAL,2,10,26,581,9,555,0.08789,5.10669,0.01721,3.0,,,,29,725.7175424027665
15,2020-04-09,Brazil,RS,TOTAL,4,14,55,636,12,618,0.12305,5.59011,0.02201,3.0,,,,30,781.9521787606006
15,2020-04-10,Brazil,RS,TOTAL,1,15,4,640,14,636,0.13184,5.6252699999999995,0.02344,3.0,,,,31,841.2008369369918
15,2020-04-11,Brazil,RS,TOTAL,1,16,13,653,15,640,0.14063,5.73953,0.0245,3.0,,,,32,903.6264160467701
16,2020-04-12,Brazil,RS,TOTAL,0,16,11,664,16,653,0.14063,5.8362099999999995,0.0241,3.0,,,,33,969.4664778685128
16,2020-04-13,Brazil,RS,TOTAL,1,17,21,685,16,664,0.14942,6.02079,0.02482,3.0,,,,34,1038.6904243465385
16,2020-04-14,Brazil,RS,TOTAL,1,18,35,720,18,700,0.15821,6.3284199999999995,0.025,3.0,,,,35,1111.7032319034695
16,2020-04-15,Brazil,RS,TOTAL,1,19,42,762,19,747,0.167,6.69758,0.02493,3.0,,,,36,1188.6361419011566
16,2020-04-16,Brazil,RS,TOTAL,2,21,30,792,19,780,0.18458,6.96127,0.02652,3.0,,,,37,1269.6930506118747
16,2020-04-17,Brazil,RS,TOTAL,3,24,39,831,22,802,0.21095,7.304060000000001,0.02888,178.0,,,,38,1355.067898415715
16,2020-04-18,Brazil,RS,TOTAL,0,24,23,854,24,831,0.21095,7.50621,0.0281,178.0,,,,39,1445.0109664502547
17,2020-04-19,Brazil,RS,TOTAL,2,26,15,869,24,854,0.22853,7.63806,0.02992,178.0,,,,40,1539.7874662778684
17,2020-04-20,Brazil,RS,TOTAL,1,27,35,904,27,889,0.23731999999999998,7.945689999999999,0.029869999999999997,184.0,,,,41,1639.6557453816824
17,2020-04-21,Brazil,RS,TOTAL,0,27,14,918,27,904,0.23731999999999998,8.06874,0.029410000000000002,184.0,,,,42,1744.8750460072479
17,2020-04-22,Brazil,RS,TOTAL,1,28,52,970,27,923,0.24611,8.525789999999999,0.02887,640.0,,,,43,1855.7259270398881
17,2020-04-23,Brazil,RS,TOTAL,1,29,69,1039,29,994,0.25489,9.13227,0.02791,678.0,,,,44,1972.5241578746914
17,2020-04-24,Brazil,RS,TOTAL,5,34,57,1096,31,1061,0.29884,9.63327,0.03102,693.0,,,,45,2095.5691366157016
17,2020-04-25,Brazil,RS,TOTAL,1,35,70,1166,34,1096,0.30763,10.24853,0.030019999999999998,703.0,,,,46,2225.2098751834815
18,2020-04-26,Brazil,RS,TOTAL,3,38,42,1208,35,1166,0.334,10.61769,0.03146,715.0,,,,47,2361.7946711605264
18,2020-04-27,Brazil,RS,TOTAL,7,45,48,1256,42,1228,0.39553,11.039589999999999,0.03583,730.0,,,,48,2505.680435176091
18,2020-04-28,Brazil,RS,TOTAL,4,49,94,1350,45,1286,0.43068,11.8658,0.0363,784.0,,,,49,2657.274247731728
18,2020-04-29,Brazil,RS,TOTAL,2,51,70,1420,50,1368,0.44826000000000005,12.481060000000001,0.03592,825.0,,,,50,2816.973672414051
18,2020-04-30,Brazil,RS,TOTAL,7,58,109,1529,51,1466,0.50979,13.439110000000001,0.03793,855.0,393.0,,,51,2985.2269278811737
18,2020-05-01,Brazil,RS,TOTAL,4,62,90,1619,58,1529,0.54495,14.230170000000001,0.0383,882.0,388.0,,,52,3162.474350892376
18,2020-05-02,Brazil,RS,TOTAL,3,65,47,1666,62,1619,0.5713199999999999,14.643270000000001,0.03902,921.0,380.0,,,53,3349.211519260348
19,2020-05-03,Brazil,RS,TOTAL,2,67,24,1690,65,1666,0.5889,14.854220000000002,0.039639999999999995,948.0,380.0,,,54,3545.9468699028234
19,2020-05-04,Brazil,RS,TOTAL,9,76,78,1768,74,1711,0.668,15.5398,0.04299,969.0,380.0,,,55,3753.177181952704
19,2020-05-05,Brazil,RS,TOTAL,7,83,251,2019,79,1815,0.72953,17.74596,0.04111,1049.0,380.0,,,56,3971.500263192782
19,2020-05-06,Brazil,RS,TOTAL,7,90,81,2100,87,2050,0.79105,18.457910000000002,0.04286,1068.0,380.0,,,57,4201.482785972662
19,2020-05-07,Brazil,RS,TOTAL,1,91,82,2182,90,2129,0.79984,19.178639999999998,0.0417,1132.0,380.0,,,58,4443.752872454846
19,2020-05-08,Brazil,RS,TOTAL,4,95,311,2493,91,2447,0.835,21.91217,0.038110000000000005,1238.0,380.0,,,59,4698.964186669418
19,2020-05-09,Brazil,RS,TOTAL,2,97,49,2542,95,2493,0.8525799999999999,22.34285,0.03816,1325.0,380.0,,,60,4967.335674088496
20,2020-05-10,Brazil,RS,TOTAL,3,100,34,2576,97,2542,0.87895,22.6417,0.03882,1373.0,380.0,,,61,5240.547621314459
20,2020-05-11,Brazil,RS,TOTAL,5,105,232,2808,105,2576,0.9229,24.68086,0.03739,1461.0,380.0,,,62,5516.637816493135
20,2020-05-12,Brazil,RS,TOTAL,6,111,109,2917,111,2917,0.9756299999999999,25.63891,0.03805,1584.0,380.0,,,63,5796.740230376705
20,2020-05-13,Brazil,RS,TOTAL,9,120,80,2997,111,2917,1.05474,26.34207,0.04004,1681.0,380.0,,,64,6081.602029304062
20,2020-05-14,Brazil,RS,TOTAL,6,126,104,3101,120,2997,1.1074700000000002,27.25617,0.04063,1816.0,457.0,,,65,6371.741300556963
