beta,gammaA,gammaS,pop,state
1.9999998652896842,0.3086419746544207,0.3333333098568542,45919049,SP
1.9999999999990161,0.3086419753084192,0.33333333333333326,2778986,MS
1.9999999999999998,0.3086419753086419,0.33054207279739156,21168791,MG
1.9999999999999998,0.3086419753086419,0.33333333333333326,845731,AP
1.999999999999988,0.3086419753085957,0.33333333333333326,210147125,TOTAL
1.99999999999993,0.3086419753086419,0.33333333333333326,4018650,ES
1.9999999999999922,0.3086419753086419,0.2917952226829906,1572866,TO
1.9999999999999998,0.3086419753086419,0.3333333333331078,14873064,BA
1.999999999999975,0.3086419753084321,0.3333333333323661,8602865,PA
1.9999999999999991,0.3086419753086419,0.33333333333333326,1777225,RO
1.9999999999999962,0.3086419753086381,0.33333333330705595,11433957,PR
1.9999999990562018,0.3086419753086301,0.3333333333333329,3484466,MT
1.9999999999995275,0.3086419734929581,0.33333333050300096,7018354,GO
1.9999999999999998,0.30864197530814497,0.2702150324888029,3015268,DF
1.9999999999999645,0.3086419753086398,0.3333333333185406,3337357,AL
1.9999999998716358,0.3086419732905557,0.33333330216316204,7075181,MA
1.7049826469427045,0.30864183873447554,0.20000000000000098,605761,RR
1.9999999999999098,0.3086419753086418,0.33333333333315124,7164788,SC
1.9999999994601825,0.3086419732871557,0.33333331750557194,3506853,RN
1.9999999985832002,0.30864197486528067,0.3175400814422347,9557071,PE
1.9627638264332068,0.30782583892611326,0.324376584360446,17264943,RJ
1.9999999999999998,0.3086419753086419,0.33333333333333326,2298696,SE
1.9999999983533219,0.30864197530731446,0.3326430717876739,11377239,RS
1.9999999999623692,0.3086419745096934,0.33333332928590353,4144597,AM
1.999999999671833,0.3086419753081733,0.3333333333332886,4018127,PB
1.9999999999500069,0.30864197530814413,0.33333332799591525,881935,AC
1.9999999999999998,0.30864197530864135,0.3333333333333038,9132078,CE
1.9999999999999998,0.3086419753086419,0.3333333333332909,3273227,PI
