beta1,beta2,beta3,gamma,pop,state
1.2328318566242409,0.2500869513780144,0.13048649048417227,0.12537075320493732,210147125,TOTAL
0.8848043685048088,0.23801117761453766,0.12297969605285146,0.1382142366551175,3506853,RN
0.2497283147005495,0.3048018875836118,0.12938510875675838,0.11561657778722217,11433957,PR
0.8699618639468591,0.20320616653514262,0.11159152715759171,0.11976860534983177,9132078,CE
0.57701856480911,0.19057650545534427,0.14549401424804492,0.1282273334709652,7164788,SC
0.5708552352121583,0.25531344586463234,0.15307156362922567,0.13134030004211616,7018354,GO
0.49005011619583166,0.2663823341263015,0.12564124279710512,0.13554575823130144,4144597,AM
0.6233518197547663,0.20833580143723532,0.10148106794416559,0.11074620535864609,605761,RR
0.2148669236158122,0.2678074072781752,0.1053496135735446,0.1198414443946479,2298696,SE
0.5310899650702454,0.25255045601308124,0.126275405146876,0.11900068963764648,14873064,BA
0.20440439748977435,0.2999747467467552,0.13332630130167936,0.12061307614896477,3484466,MT
0.5424301401110535,0.23417865983732158,0.11662624513642508,0.12209237453144543,3337357,AL
0.41845064401933685,0.15812022861726366,0.13899750873434502,0.1165164061920871,11377239,RS
0.3621196627807691,0.2785575763218409,0.14818213563387797,0.13996082946454133,45919049,SP
0.9731882714701081,0.30710064919350405,0.1258612890202546,0.13751738157898763,4018127,PB
0.38539087129552685,0.23778705766791275,0.14797812597839252,0.1368210649945086,1572866,TO
1.2852995876986932,0.22389293363552235,0.11931500885153336,0.12087232954238634,17264943,RJ
0.5076725107350081,0.17445020861540794,0.1307096055247904,0.1366643468488659,9557071,PE
0.4043918625213273,0.23258562639347466,0.12395757042812543,0.12645757565851654,1777225,RO
0.2897147898791313,0.24939406545773887,0.13648945192281442,0.14198816212642942,4018650,ES
0.6220520422136024,0.2427449656109852,0.1042408039656835,0.12158051095151874,845731,AP
0.6196429351464662,0.23342199205914824,0.1295873494320932,0.12401644437609285,3015268,DF
0.7337428981403721,0.19950336992260378,0.11754459764874264,0.10306091182581377,2778986,MS
0.8522952340087151,0.28691293127818157,0.11857340863605832,0.13088903610733954,7075181,MA
0.35152902521629376,0.24712571437248768,0.12999092369794574,0.13276644768315965,3273227,PI
1.0056185966175701,0.21468421962951909,0.1423372307628398,0.1299218668855348,21168791,MG
0.4517525309426951,0.2542093361829678,0.11449538244914627,0.1264444916184216,881935,AC
0.22074702404201813,0.3989537065557195,0.12493089915335774,0.13027968347222832,8602865,PA
