beta,gamma,pop,state
0.22761570419160776,0.1428571428568846,210147125,TOTAL
0.201778751983642,0.14285714285714202,17264943,RJ
0.19421261812645582,0.14285714285714282,3484466,MT
0.19529294646154885,0.1428571428570431,7018354,GO
0.19704377125478287,0.14285714285680365,7164788,SC
0.20077578100914265,0.1428571428569568,14873064,BA
0.19883532575700621,0.14285714285714282,21168791,MG
0.19138260055556947,0.14285714285714282,845731,AP
0.18470215505459778,0.14285714285714282,2778986,MS
0.19806087408971107,0.14285714285713785,9557071,PE
0.19378098115278192,0.1428571428571419,4018650,ES
0.19397685284716598,0.1428571054608558,11377239,RS
0.20735242799339326,0.14285714285679843,8602865,PA
0.1868221284217917,0.14285714285714282,1572866,TO
0.2008943082184654,0.14285714285704332,4144597,AM
0.19055798188761888,0.14285714285713963,3337357,AL
0.2076533930664831,0.14285714285647,9132078,CE
0.21011219843372061,0.14285714285714035,45919049,SP
0.18963353321027981,0.14285714285713297,605761,RR
0.18939636690085632,0.14285714285714282,3506853,RN
0.2051418120655976,0.14285714285714274,7075181,MA
0.19288029730521172,0.14285714285714243,3273227,PI
0.1809391820603501,0.14285714285714177,881935,AC
0.19815021049664344,0.14285714285714282,4018127,PB
0.19782850608929545,0.14285714285714282,3015268,DF
0.19482120713636067,0.14285714285713952,11433957,PR
0.19149080209751704,0.14285714285708132,2298696,SE
0.19010812122010476,0.14285714285714107,1777225,RO
