beta1,gamma,pop,state
0.16847381678270795,0.14285714283828235,881935,AC
0.17622160970953687,0.14285714285714088,11433957,PR
0.1781644629105457,0.14285714285704498,4018127,PB
0.17686115254297355,0.1428571428571424,7018354,GO
0.17590860300155328,0.14285714285714282,11377239,RS
0.17989212202249477,0.14285714285714196,17264943,RJ
0.17453498209059584,0.14285714285713355,605761,RR
0.17952720543414716,0.1428571428571047,14873064,BA
0.17774866879399703,0.14285714285714202,9557071,PE
0.18190651843199312,0.14285714285714277,7075181,MA
0.17513009879607438,0.14285714285624843,845731,AP
0.17216994463326396,0.14285714285714,1572866,TO
0.1708002365455641,0.14285714285710333,2778986,MS
0.17618609441215158,0.1428571428570372,3484466,MT
0.17996025047167336,0.14285714284895787,4144597,AM
0.18345519821342707,0.14285714285714282,9132078,CE
0.17843112889415366,0.14285714285714282,21168791,MG
0.18323740536361358,0.14285714285714282,8602865,PA
0.17585286570489123,0.14285714285491136,4018650,ES
0.18476200607603382,0.14285714285714282,45919049,SP
0.17451676142656222,0.14285714285609502,2298696,SE
0.17304902909056755,0.14285714285707327,3506853,RN
0.17382200271916387,0.14285714285696263,3337357,AL
0.1787539397189456,0.14285714285379753,3015268,DF
0.17769914566225836,0.14285714285714282,7164788,SC
0.19446665470291025,0.14285714285714265,210147125,TOTAL
0.1737825809381158,0.14285714285172563,1777225,RO
0.17525496672677518,0.14285714285713572,3273227,PI
