beta1,beta2,beta3,gamma,pop,state
0.5389610566968145,0.24645454909410594,0.12396516482854761,0.13417113931306726,8602865,PA
0.105698628035944,0.26669491960895647,0.11690430959365565,0.12436740323256931,881935,AC
0.9460149267659465,0.1815458525254776,0.0801253229968551,0.08103532998826853,4018650,ES
0.17577637220047693,0.27105939553242214,0.14073467640909623,0.12979690335430127,14873064,BA
0.790150353529698,0.26432615346581584,0.15302307945208563,0.13206683672411385,2778986,MS
0.6709648570628826,0.28317222311099755,0.1541995901238029,0.1420675795941137,3484466,MT
0.4539411594941967,0.2697696688276678,0.13246129307072418,0.13250921445091274,17264943,RJ
0.8990742331920912,0.30070124676376025,0.1635910489181134,0.14276788039630595,21168791,MG
0.29448504430932493,0.23098214799594555,0.12728639365919345,0.1345258327208814,605761,RR
0.8873797326747523,0.27891095680167327,0.17296265310573752,0.14281900374642145,7164788,SC
0.3801795823441639,0.29880882973057443,0.15601781837578174,0.14045625617582774,45919049,SP
0.24685617070869134,0.2641223284319947,0.15382832738759436,0.1352257848717464,11433957,PR
0.5807200578766328,0.24503990435997844,0.11404902212758777,0.13889761339901088,845731,AP
0.859991392612788,0.35306630536913064,0.1355502767775104,0.13151325626364843,9557071,PE
0.8658397660412459,0.28425116341623763,0.12498184895883763,0.13843604038633234,3337357,AL
0.551352441402235,0.23177969380958466,0.10399117664614904,0.10993063165750512,2298696,SE
0.9446325445185624,0.21968213413675797,0.10481345960301923,0.12290667532463857,3506853,RN
0.44473545157287836,0.18567563533601766,0.09336073452970252,0.09543005539709279,1777225,RO
0.8059247574271393,0.2535236784689491,0.11792249758806127,0.13011285943244436,4144597,AM
0.44489451823483994,0.2820017270698279,0.11442241008280331,0.12583254772903932,7075181,MA
0.20423952369563322,0.3046752326456452,0.17195322737185065,0.14196062965999168,7018354,GO
1.2723392233676039,0.25603297849980444,0.13282328746436917,0.14284436129037797,9132078,CE
0.8295545091865488,0.2339347584148282,0.11021062992121651,0.12224385644262067,4018127,PB
0.5805932052981826,0.21522591804500157,0.11672504213603593,0.10876408834592048,3273227,PI
0.8921430685213266,0.2063317157996169,0.136474503810046,0.11779312603691124,1572866,TO
0.43381521035292003,0.26454695563348923,0.1396215483970216,0.13233192933061413,3015268,DF
1.3065184570319452,0.19920208788908922,0.1394683210323073,0.11239741576674128,11377239,RS
0.9515340757374184,0.2644670184465465,0.13960600777328724,0.1319236397869399,210147125,TOTAL
