beta,gamma,pop,state
0.198289279286466,0.14285714285714246,9557071,PE
0.2009746840860336,0.14285714285713616,14873064,BA
0.20762022542328282,0.14285714285711304,8602865,PA
0.1907352480148628,0.14285714279725042,3337357,AL
0.18109510340095272,0.14285714285714282,881935,AC
0.2103420094149142,0.14285714285696993,45919049,SP
0.19720835222120398,0.14285714285704063,7164788,SC
0.19498070685666272,0.14285714285713594,11433957,PR
0.19395993744231074,0.14285714285714177,4018650,ES
0.20541044666036717,0.14285714285714163,7075181,MA
0.19166078989905885,0.14285714228178878,2298696,SE
0.1979962353589823,0.14285714285714282,3015268,DF
0.1943733854338256,0.14285714285692522,3484466,MT
0.22790812825063092,0.1428571428546824,210147125,TOTAL
0.19028436936317214,0.14285714285714,1777225,RO
0.18694647249627244,0.14285714285714268,1572866,TO
0.1848085859177149,0.14285695515907687,2778986,MS
0.19157920832357828,0.14285714285714282,845731,AP
0.19305869158161054,0.14285714285714282,3273227,PI
0.2079203389750506,0.14285714285711557,9132078,CE
0.1954292930841646,0.1428571402032953,7018354,GO
0.19411720424850654,0.14285710386785966,11377239,RS
0.20113272798649756,0.1428571428567275,4144597,AM
0.2020080561250634,0.14285714285714282,17264943,RJ
0.189787652174983,0.14285714285714202,605761,RR
0.18957865239232266,0.1428571428571423,3506853,RN
0.19901355101810156,0.14285714285709764,21168791,MG
0.19837012490500708,0.14285714285705808,4018127,PB
