"CO_MUNICIP","CO_REGSAUD"
"000000","00000"
"110000","11000"
"110001","11005"
"110002","11001"
"110003","11006"
"110004","11002"
"110005","11006"
"110006","11006"
"110007","11006"
"110008","11007"
"110009","11002"
"110010","11004"
"110011","11003"
"110012","11003"
"110013","11001"
"110014","11005"
"110015","11003"
"110018","11002"
"110020","11004"
"110025","11003"
"110026","11001"
"110028","11005"
"110029","11005"
"110030","11006"
"110032","11003"
"110033","11004"
"110034","11003"
"110037","11005"
"110040","11001"
"110045","11001"
"110050","11005"
"110060","11001"
"110070","11001"
"110080","11004"
"110090","11005"
"110092","11006"
"110094","11001"
"110100","11003"
"110110","11004"
"110120","11002"
"110130","11003"
"110140","11001"
"110143","11003"
"110145","11005"
"110146","11006"
"110147","11002"
"110148","11002"
"110149","11007"
"110150","11007"
"110155","11003"
"110160","11003"
"110170","11003"
"110175","11003"
"110180","11003"
"120000","12000"
"120001","12002"
"120005","12001"
"120010","12001"
"120013","12002"
"120017","12002"
"120020","12003"
"120025","12001"
"120030","12003"
"120032","12002"
"120033","12003"
"120034","12002"
"120035","12003"
"120038","12002"
"120039","12003"
"120040","12002"
"120042","12003"
"120043","12002"
"120045","12002"
"120050","12002"
"120060","12003"
"120070","12001"
"120080","12002"
"130000","13000"
"130002","13008"
"130006","13009"
"130008","13002"
"130010","13002"
"130014","13003"
"130020","13009"
"130030","13001"
"130040","13001"
"130050","13005"
"130060","13009"
"130063","13002"
"130068","13005"
"130070","13006"
"130080","13003"
"130083","13002"
"130090","13006"
"130100","13007"
"130110","13001"
"130115","13001"
"130120","13002"
"130130","13002"
"130140","13007"
"130150","13007"
"130160","13009"
"130165","13007"
"130170","13003"
"130180","13007"
"130185","13001"
"130190","13004"
"130195","13007"
"130200","13004"
"130210","13008"
"130220","13008"
"130230","13009"
"130240","13006"
"130250","13002"
"130255","13001"
"130260","13001"
"130270","13003"
"130280","13008"
"130290","13005"
"130300","13005"
"130310","13001"
"130320","13002"
"130330","13003"
"130340","13005"
"130350","13006"
"130353","13001"
"130356","13001"
"130360","13001"
"130370","13009"
"130380","13001"
"130390","13009"
"130395","13004"
"130400","13004"
"130406","13009"
"130410","13006"
"130420","13008"
"130423","13009"
"130426","13008"
"130430","13004"
"130440","13004"
"140000","14000"
"140002","14001"
"140005","14001"
"140010","14001"
"140015","14001"
"140017","14001"
"140020","14002"
"140023","14002"
"140028","14002"
"140030","14001"
"140040","14001"
"140045","14001"
"140047","14002"
"140050","14002"
"140060","14002"
"140070","14001"
"150000","15000"
"150010","15011"
"150013","15003"
"150020","15007"
"150030","15013"
"150034","15001"
"150040","15002"
"150050","15002"
"150060","15012"
"150070","15014"
"150080","15006"
"150085","15012"
"150090","15009"
"150095","15008"
"150100","15010"
"150110","15014"
"150120","15011"
"150125","15001"
"150130","15011"
"150140","15006"
"150145","15002"
"150150","15006"
"150157","15003"
"150160","15009"
"150170","15009"
"150172","15012"
"150175","15003"
"150178","15004"
"150180","15014"
"150190","15007"
"150195","15009"
"150200","15013"
"150210","15011"
