day,state,suscetivel,exposto,infectado,recuperado
2020-03-18,PA,0.999999053021786,3.0413855805409813e-06,9.469782139521949e-07,0.0
2020-03-19,PA,0.9999975472193388,3.889802301217722e-06,1.4467882920642332e-06,1.5757564840384048e-07
2020-03-20,PA,0.9999953293749546,5.240251774445749e-06,2.0820950347575947e-06,3.896638167091708e-07
2020-03-21,PA,0.9999921811440322,7.207549729194152e-06,2.9335778740152197e-06,7.191139450781812e-07
2020-03-22,PA,0.9999877842402862,9.97960028446275e-06,4.098310481090174e-06,1.1792345286540187e-06
2020-03-23,PA,0.9999816661554943,1.3849362169902206e-05,5.7063938635946624e-06,1.8194740525504768e-06
2020-03-24,PA,0.9999744765837352,1.7931861354209016e-05,7.920645869592424e-06,2.7122946216612453e-06
2020-03-25,PA,0.9999719503079223,1.7130617199035858e-05,1.0058844841929982e-05,3.901615617370324e-06
2020-03-26,PA,0.9999688752478352,1.6969582417297715e-05,1.1847257133559738e-05,5.349298194525935e-06
2020-03-27,PA,0.9999653332500384,1.7258229992286785e-05,1.3433093413927533e-05,7.016812135901407e-06
2020-03-28,PA,0.9999613652091406,1.7883942801722707e-05,1.4907326500575206e-05,8.884907137685415e-06
2020-03-29,PA,0.9999569917092397,1.8770621375641088e-05,1.6335160131751594e-05,1.0943894833563388e-05
2020-03-30,PA,0.9999522189535642,1.986718922078806e-05,1.7764385474507065e-05,1.319085732116366e-05
2020-03-31,PA,0.9999470426175145,2.1140370427531575e-05,1.923056435302128e-05,1.562783328559239e-05
2020-04-01,PA,0.9999414480697387,2.2573663641170072e-05,2.0757938165499715e-05,1.826171403525805e-05
2020-04-02,PA,0.9999354147372663,2.41586022925342e-05,2.236585742455413e-05,2.1102188597161707e-05
2020-04-03,PA,0.9999289177494429,2.5891458501240498e-05,2.4071207773868728e-05,2.4160969862568924e-05
2020-04-04,PA,0.9999219278376222,2.777304829800142e-05,2.5888657717322957e-05,2.7451841943082244e-05
2020-04-05,PA,0.9999144122711286,2.980739117384053e-05,2.783150377580851e-05,3.09902195023196e-05
2020-04-06,PA,0.9999063338892824,3.2001979575789e-05,2.9911912869712668e-05,3.479360385263521e-05
2020-04-07,PA,0.9998976522931061,3.436582674779311e-05,3.21422437651295e-05,3.8881021961531304e-05
2020-04-08,PA,0.9998883240467509,3.690930611444142e-05,3.453510108102164e-05,4.3272931634287865e-05
2020-04-09,PA,0.9998783018055971,3.9644328861358476e-05,3.7103618660337485e-05,4.7991632461757786e-05
2020-04-10,PA,0.999867534061664,4.2584324927444506e-05,3.986161298359826e-05,5.3061386005567644e-05
2020-04-11,PA,0.9998559665811504,4.57436271914942e-05,4.282343872770082e-05,5.850773851101254e-05
2020-04-12,PA,0.99984353986197,4.913829239619659e-05,4.600451200155086e-05,6.435871921279478e-05
2020-04-13,PA,0.9998301899141798,5.278560982437926e-05,4.9421388601720776e-05,7.06444729747188e-05
2020-04-14,PA,0.9998158490120761,5.670393118561046e-05,5.309153652820361e-05,7.739690579062468e-05
2020-04-15,PA,0.9998004433850756,6.091328955764398e-05,5.703393727036646e-05,8.465077367700137e-05
2020-04-16,PA,0.9997838940126886,6.543517378178963e-05,6.126889043323707e-05,9.244330867688612e-05
2020-04-17,PA,0.9997661156202475,7.029281147507007e-05,6.58182616413737e-05,0.00010081469221654133
2020-04-18,PA,0.9997470184300322,7.551069196956418e-05,7.070503490804745e-05,0.00010980722867075678
2020-04-19,PA,0.9997265051027295,8.111539699622788e-05,7.595409649738299e-05,0.00011946678935736948
2020-04-20,PA,0.9997044690993221,8.713601356484135e-05,8.159268404325145e-05,0.00012984358865032755
2020-04-21,PA,0.9996807972756342,9.360348001828341e-05,8.764967520597985e-05,0.00014099095472207168
2020-04-22,PA,0.9996553688330009,0.00010055084121189386,9.415588448234986e-05,0.00015296582688536817
2020-04-23,PA,0.9996280519639222,0.0001080139834806394,0.00010114509115560136,0.00016583034702200662
2020-04-24,PA,0.9995987069227364,0.00011603096426314404,0.00010865309589010226,0.00017965040269086622
2020-04-25,PA,0.9995671861162135,0.00012464199286053908,0.00011671769237090783,0.00019449558413548677
2020-04-26,PA,0.9995333274720739,0.0001338911824055327,0.0001253804060224875,0.0002104423250785141
2020-04-27,PA,0.9994969551869921,0.00014382634933500109,0.0001346863007476122,0.00022757354850573824
2020-04-28,PA,0.9994578856170142,0.00015449743426831314,0.00014468245702661494,0.0002459758772713325
2020-04-29,PA,0.9994159220314865,0.00016595796729831043,0.00015541926666193929,0.0002657421201335535
2020-04-30,PA,0.9993708421463785,0.0001782687061793983,0.0001669533488040926,0.0002869771842184234
2020-05-01,PA,0.9993224193712295,0.00019149143576674787,0.0001793425801711513,0.00030978799841302105
2020-05-02,PA,0.999270410036113,0.00020569267198483968,0.0001926491052997177,0.00033428957218266137
2020-05-03,PA,0.9992145452857638,0.0002209457295375054,0.00020694151705082784,0.0003606088532281651
2020-05-04,PA,0.9991545388128213,0.00023732869128848406,0.000222292831705867,0.00038888104976466005
2020-05-05,PA,0.9990900856150247,0.0002549247610773165,0.00023878078909903258,0.0004192502203793035
2020-05-06,PA,0.9990208581649305,0.00027382321312511106,0.0002564889074016029,0.0004518711001231364
2020-05-07,PA,0.9989465026698757,0.00029411999893267813,0.0002755078117972498,0.00048691090497469155
2020-05-08,PA,0.9988666396147395,0.00031591806510676806,0.0002959346623007417,0.000524549043433245
2020-05-09,PA,0.9987808614055737,0.0003393278668661712,0.0003178738683131416,0.0005649782448273801
2020-05-10,PA,0.9986887306645469,0.0003644678268106071,0.000341437496253488,0.0006084053979692408
2020-05-11,PA,0.9985897788322466,0.0003914647667305576,0.0003667455304842751,0.0006550522561188124
2020-05-12,PA,0.9984835036788627,0.0004204544558663459,0.0003939266894020461,0.000705156561449065
2020-05-13,PA,0.9983693677641748,0.00045158205904046047,0.0004231187572207013,0.0007589728051442122
2020-05-14,PA,0.9982467913005484,0.000485004692788081,0.00045446969546539284,0.0008167756967783318
2020-05-15,PA,0.9981151497194765,0.0005208921509207941,0.0004881381800829705,0.0008788613351000057
2020-05-16,PA,0.9979737767344202,0.0005594254943638428,0.0005242934627438306,0.0009455456940522706
2020-05-17,PA,0.997821959246828,0.000600798739779072,0.0005631163034466782,0.0010171670955263679
2020-05-18,PA,0.9976589265721928,0.0006452207932999051,0.0006048024972260356,0.001094091522861454
2020-05-19,PA,0.9974838525746933,0.0006929154746617339,0.00064956181222816,0.0011767115239970588
2020-05-20,PA,0.9972958550727352,0.0007441219450560958,0.0006976178979038829,0.0012654464698850022
2020-05-21,PA,0.9970939907933102,0.0007990949452091906,0.0007492106072191491,0.0013607450398417046
2020-05-22,PA,0.996877248373545,0.0008580934938795863,0.0008046105969003144,0.0014630889212554228
2020-05-23,PA,0.9966445342430525,0.0009214184541072197,0.0008640893913521742,0.0015729992970683363
2020-05-24,PA,0.9963946797546291,0.0009893878902862347,0.0009279401504796542,0.0016910335901852242
2020-05-25,PA,0.9961264370855275,0.0010623305623896906,0.000996486102037684,0.001817787635625223
2020-05-26,PA,0.995838463376962,0.0011406103070694773,0.0010700644173012761,0.0019539032842473304
2020-05-27,PA,0.9955293232718357,0.0012246095315636845,0.0011490411774356948,0.0021000674047450666
2020-05-28,PA,0.9951974795872123,0.0013147365256691754,0.0012338087749868417,0.0022570164977120197
