day,state,SIR_beta_variante,SIR,SEIR,SEIR_beta_variante,SEIIR_sin,SEIIR_sin_beta_variante,SEIIR_asin,SEIIR_asin_beta_variante
2020-03-20,MT,1,50,50,8,50,0,50,23
2020-03-21,MT,1,52,58,7,39,0,59,17
2020-03-22,MT,3,53,63,8,33,1,78,14
2020-03-23,MT,5,55,68,10,30,1,99,13
2020-03-24,MT,10,56,71,11,28,2,120,12
2020-03-25,MT,20,58,74,13,28,2,138,12
2020-03-26,MT,39,60,77,14,28,2,154,12
2020-03-27,MT,76,62,79,15,28,3,168,12
2020-03-28,MT,147,64,81,16,29,3,181,13
2020-03-29,MT,171,66,84,18,29,4,194,14
2020-03-30,MT,178,68,86,19,30,4,205,15
2020-03-31,MT,185,70,89,20,31,5,216,17
2020-04-01,MT,192,72,91,22,33,6,228,19
2020-04-02,MT,200,74,94,23,34,6,239,21
2020-04-03,MT,208,76,97,25,35,7,250,23
2020-04-04,MT,216,79,100,27,37,8,262,26
2020-04-05,MT,224,81,102,28,38,9,273,29
2020-04-06,MT,233,84,105,30,40,10,286,32
2020-04-07,MT,243,86,108,33,42,11,298,36
2020-04-08,MT,252,89,111,35,44,12,311,40
2020-04-09,MT,262,92,115,37,45,14,325,44
2020-04-10,MT,272,94,118,40,47,15,339,50
2020-04-11,MT,283,97,121,43,49,17,354,55
2020-04-12,MT,294,100,125,45,52,19,369,62
2020-04-13,MT,306,103,128,49,54,21,386,69
2020-04-14,MT,318,106,132,52,56,24,402,77
2020-04-15,MT,330,110,136,56,59,27,420,86
2020-04-16,MT,343,113,140,59,61,30,438,96
2020-04-17,MT,357,117,144,64,64,33,457,107
2020-04-18,MT,371,120,148,68,67,37,477,119
2020-04-19,MT,386,124,152,73,69,41,497,133
2020-04-20,MT,401,128,156,78,72,46,519,148
2020-04-21,MT,417,132,161,83,76,52,541,165
2020-04-22,MT,433,136,165,89,79,57,565,184
2020-04-23,MT,450,140,170,95,82,64,589,206
2020-04-24,MT,468,144,175,102,86,71,615,227
2020-04-25,MT,486,148,180,109,90,77,641,246
2020-04-26,MT,505,153,185,116,93,83,669,265
2020-04-27,MT,525,158,190,124,97,89,698,285
2020-04-28,MT,546,163,196,133,102,95,728,305
2020-04-29,MT,568,168,201,142,106,101,760,326
2020-04-30,MT,590,173,207,152,111,108,792,349
2020-05-01,MT,613,178,213,163,115,116,827,373
