day,state,SIR_beta_variante,SIR,SEIR,SEIR_beta_variante,SEIIR,SEIIR_beta_variante
2020-03-20,MT,0,0,0,0,0,0
2020-03-21,MT,0,7,8,1,31,6
2020-03-22,MT,0,15,16,2,64,10
2020-03-23,MT,1,22,26,3,102,15
2020-03-24,MT,2,30,36,5,145,18
2020-03-25,MT,4,39,46,7,195,22
2020-03-26,MT,8,47,57,9,249,26
2020-03-27,MT,16,56,68,11,308,31
2020-03-28,MT,31,65,79,13,371,35
2020-03-29,MT,54,74,91,15,439,40
2020-03-30,MT,79,83,103,18,510,46
2020-03-31,MT,104,93,116,21,586,52
2020-04-01,MT,131,103,129,24,665,59
2020-04-02,MT,158,114,142,27,748,66
2020-04-03,MT,187,125,156,30,835,74
2020-04-04,MT,217,136,170,34,926,84
2020-04-05,MT,248,147,184,38,1021,94
2020-04-06,MT,280,159,199,42,1120,106
2020-04-07,MT,313,171,214,46,1224,119
2020-04-08,MT,348,183,230,51,1332,133
2020-04-09,MT,384,196,246,56,1445,149
2020-04-10,MT,422,210,263,62,1563,167
2020-04-11,MT,461,223,280,68,1686,187
2020-04-12,MT,501,237,297,74,1815,209
2020-04-13,MT,544,252,315,81,1949,234
2020-04-14,MT,587,267,334,88,2089,262
2020-04-15,MT,633,282,353,95,2235,293
2020-04-16,MT,680,298,373,103,2387,327
2020-04-17,MT,730,315,393,112,2546,366
2020-04-18,MT,781,332,414,122,2712,409
2020-04-19,MT,834,349,435,132,2885,457
2020-04-20,MT,889,367,457,142,3065,510
2020-04-21,MT,947,386,480,154,3254,570
2020-04-22,MT,1006,405,503,166,3450,636
2020-04-23,MT,1068,424,527,179,3655,711
2020-04-24,MT,1133,445,552,193,3869,793
2020-04-25,MT,1200,465,577,208,4092,883
2020-04-26,MT,1270,487,603,224,4325,981
2020-04-27,MT,1342,509,630,241,4567,1086
2020-04-28,MT,1417,532,658,259,4821,1198
2020-04-29,MT,1496,556,686,278,5085,1318
2020-04-30,MT,1577,580,715,299,5360,1447
2020-05-01,MT,1661,605,745,322,5648,1584
2020-05-02,MT,1749,631,776,346,5948,1731
2020-05-03,MT,1841,657,808,371,6261,1887
2020-05-04,MT,1936,685,840,398,6587,2055
2020-05-05,MT,2034,713,874,427,6927,2234
2020-05-06,MT,2137,742,909,459,7282,2424
2020-05-07,MT,2243,772,944,492,7652,2628
2020-05-08,MT,2354,803,981,528,8039,2846
2020-05-09,MT,2469,835,1018,566,8441,3079
2020-05-10,MT,2589,868,1057,607,8861,3327
2020-05-11,MT,2713,902,1097,650,9299,3592
