day,state,SIR_beta_variante,SIR,SEIR,SEIR_beta_variante,SEIIR,SEIIR_beta_variante
2020-03-20,MT,3484465,3484416,3484416,3484458,3484366,3484443
2020-03-21,MT,3484465,3484407,3484406,3484452,3484269,3484435
2020-03-22,MT,3484463,3484398,3484395,3484445,3484185,3484429
2020-03-23,MT,3484460,3484389,3484382,3484439,3484106,3484422
2020-03-24,MT,3484454,3484379,3484370,3484436,3484029,3484416
2020-03-25,MT,3484442,3484369,3484356,3484433,3483950,3484409
2020-03-26,MT,3484419,3484359,3484342,3484430,3483869,3484401
2020-03-27,MT,3484375,3484348,3484328,3484426,3483786,3484393
2020-03-28,MT,3484288,3484338,3484313,3484421,3483698,3484384
2020-03-29,MT,3484241,3484326,3484298,3484417,3483607,3484374
2020-03-30,MT,3484209,3484315,3484282,3484412,3483512,3484362
2020-03-31,MT,3484177,3484303,3484266,3484406,3483414,3484350
2020-04-01,MT,3484143,3484291,3484249,3484401,3483310,3484336
2020-04-02,MT,3484108,3484278,3484232,3484395,3483203,3484320
2020-04-03,MT,3484071,3484265,3484214,3484388,3483090,3484302
2020-04-04,MT,3484033,3484252,3484196,3484381,3482973,3484283
2020-04-05,MT,3483994,3484238,3484177,3484374,3482851,3484261
2020-04-06,MT,3483953,3484224,3484158,3484366,3482723,3484236
2020-04-07,MT,3483910,3484209,3484138,3484357,3482590,3484209
2020-04-08,MT,3483866,3484194,3484117,3484348,3482451,3484179
2020-04-09,MT,3483820,3484178,3484096,3484339,3482306,3484145
2020-04-10,MT,3483772,3484162,3484075,3484328,3482155,3484107
2020-04-11,MT,3483722,3484145,3484053,3484317,3481997,3484065
2020-04-12,MT,3483670,3484128,3484030,3484305,3481833,3484018
2020-04-13,MT,3483617,3484111,3484006,3484293,3481661,3483966
2020-04-14,MT,3483561,3484093,3483982,3484279,3481482,3483907
2020-04-15,MT,3483503,3484074,3483957,3484264,3481295,3483842
2020-04-16,MT,3483442,3484055,3483932,3484249,3481100,3483769
2020-04-17,MT,3483379,3484035,3483906,3484232,3480896,3483687
2020-04-18,MT,3483314,3484014,3483879,3484214,3480684,3483597
2020-04-19,MT,3483246,3483993,3483851,3484195,3480462,3483495
2020-04-20,MT,3483176,3483971,3483822,3484175,3480231,3483383
2020-04-21,MT,3483103,3483949,3483793,3484153,3479990,3483257
2020-04-22,MT,3483027,3483926,3483763,3484130,3479739,3483116
2020-04-23,MT,3482947,3483902,3483732,3484105,3479476,3482960
2020-04-24,MT,3482865,3483877,3483700,3484079,3479202,3482826
2020-04-25,MT,3482780,3483852,3483667,3484050,3478917,3482680
2020-04-26,MT,3482691,3483826,3483633,3484020,3478619,3482522
2020-04-27,MT,3482599,3483799,3483598,3483987,3478308,3482352
2020-04-28,MT,3482503,3483771,3483562,3483953,3477984,3482170
2020-04-29,MT,3482403,3483743,3483525,3483915,3477646,3481975
2020-04-30,MT,3482299,3483713,3483487,3483876,3477294,3481767
2020-05-01,MT,3482191,3483683,3483448,3483833,3476926,3481544
2020-05-02,MT,3482079,3483652,3483408,3483788,3476543,3481307
2020-05-03,MT,3481963,3483620,3483367,3483739,3476142,3481053
2020-05-04,MT,3481842,3483586,3483325,3483687,3475725,3480782
2020-05-05,MT,3481716,3483552,3483281,3483632,3475290,3480493
2020-05-06,MT,3481586,3483517,3483236,3483572,3474836,3480183
2020-05-07,MT,3481450,3483480,3483190,3483509,3474363,3479853
2020-05-08,MT,3481309,3483443,3483143,3483441,3473869,3479501
2020-05-09,MT,3481162,3483404,3483094,3483368,3473355,3479125
2020-05-10,MT,3481010,3483364,3483044,3483290,3472818,3478723
2020-05-11,MT,3480851,3483323,3482992,3483207,3472258,3478294
2020-05-12,MT,3480687,3483281,3482939,3483118,3471675,3477836
2020-05-13,MT,3480516,3483238,3482884,3483024,3471066,3477347
2020-05-14,MT,3480338,3483193,3482828,3482922,3470432,3476825
2020-05-15,MT,3480153,3483146,3482770,3482813,3469771,3476267
2020-05-16,MT,3479961,3483099,3482711,3482697,3469081,3475672
2020-05-17,MT,3479762,3483049,3482650,3482573,3468362,3475037
2020-05-18,MT,3479555,3482999,3482587,3482440,3467613,3474359
2020-05-19,MT,3479339,3482947,3482522,3482298,3466832,3473635
2020-05-20,MT,3479115,3482893,3482456,3482147,3466017,3472862
2020-05-21,MT,3478883,3482837,3482387,3481984,3465169,3472037
2020-05-22,MT,3478641,3482780,3482317,3481811,3464284,3471157
2020-05-23,MT,3478390,3482721,3482245,3481625,3463362,3470217
2020-05-24,MT,3478129,3482660,3482170,3481427,3462401,3469214
2020-05-25,MT,3477858,3482598,3482094,3481215,3461400,3468144
2020-05-26,MT,3477576,3482533,3482015,3480988,3460357,3467003
2020-05-27,MT,3477284,3482467,3481934,3480746,3459270,3465785
2020-05-28,MT,3476979,3482398,3481851,3480486,3458138,3464485
2020-05-29,MT,3476664,3482328,3481765,3480209,3456958,3463098
2020-05-30,MT,3476335,3482255,3481677,3479913,3455729,3461619
2020-05-31,MT,3475994,3482180,3481587,3479596,3454449,3460041
2020-06-01,MT,3475640,3482103,3481493,3479257,3453116,3458358
2020-06-02,MT,3475272,3482023,3481398,3478895,3451727,3456564
2020-06-03,MT,3474889,3481941,3481299,3478508,3450281,3454650
2020-06-04,MT,3474492,3481856,3481198,3478094,3448775,3452610
2020-06-05,MT,3474079,3481769,3481094,3477652,3447208,3450435
2020-06-06,MT,3473651,3481679,3480986,3477179,3445575,3448116
2020-06-07,MT,3473205,3481587,3480876,3476674,3443876,3445645
2020-06-08,MT,3472743,3481491,3480763,3476133,3442108,3443011
2020-06-09,MT,3472262,3481393,3480646,3475556,3440268,3440206
2020-06-10,MT,3471763,3481292,3480526,3474938,3438352,3437216
2020-06-11,MT,3471245,3481187,3480403,3474279,3436359,3434033
2020-06-12,MT,3470707,3481080,3480276,3473573,3434286,3430642
2020-06-13,MT,3470148,3480969,3480146,3472819,3432129,3427346
2020-06-14,MT,3469567,3480854,3480011,3472014,3429886,3424695
2020-06-15,MT,3468964,3480737,3479873,3471153,3427554,3421944
2020-06-16,MT,3468338,3480615,3479732,3470233,3425128,3419119
2020-06-17,MT,3467688,3480490,3479586,3469250,3422606,3416237
2020-06-18,MT,3467013,3480362,3479436,3468199,3419985,3413307
2020-06-19,MT,3466312,3480229,3479281,3467077,3417260,3410334
2020-06-20,MT,3465584,3480092,3479123,3465878,3414429,3407323
2020-06-21,MT,3464828,3479951,3478959,3464596,3411488,3404275
2020-06-22,MT,3464043,3479806,3478792,3463227,3408433,3401192
2020-06-23,MT,3463229,3479656,3478619,3462249,3405260,3398074
2020-06-24,MT,3462387,3479502,3478442,3461418,3401965,3394922
2020-06-25,MT,3461676,3479343,3478259,3460559,3398545,3391736
2020-06-26,MT,3460960,3479179,3478071,3459679,3394995,3388516
2020-06-27,MT,3460240,3479010,3477878,3458785,3391311,3385263
2020-06-28,MT,3459515,3478837,3477680,3457881,3387489,3381976
2020-06-29,MT,3458787,3478657,3477476,3456969,3383525,3378656
2020-06-30,MT,3458054,3478473,3477266,3456051,3379415,3375303
2020-07-01,MT,3457317,3478283,3477050,3455128,3375154,3371917
2020-07-02,MT,3456575,3478087,3476828,3454202,3370737,3368498
2020-07-03,MT,3455829,3477885,3476600,3453273,3366162,3365046
2020-07-04,MT,3455079,3477677,3476366,3452341,3361422,3361562
2020-07-05,MT,3454325,3477463,3476124,3451407,3356514,3358046
2020-07-06,MT,3453566,3477242,3475876,3450471,3351433,3354497
2020-07-07,MT,3452803,3477014,3475621,3449533,3346175,3350917
2020-07-08,MT,3452036,3476780,3475359,3448593,3340736,3347304
2020-07-09,MT,3451264,3476539,3475089,3447652,3335111,3343661
2020-07-10,MT,3450488,3476290,3474812,3446709,3329295,3339986
2020-07-11,MT,3449708,3476034,3474527,3445764,3323285,3336280
2020-07-12,MT,3448924,3475770,3474234,3444818,3317077,3332543
2020-07-13,MT,3448135,3475498,3473932,3443870,3310665,3328776
2020-07-14,MT,3447342,3475217,3473622,3442921,3304047,3324980
2020-07-15,MT,3446545,3474929,3473304,3441971,3297219,3321153
2020-07-16,MT,3445743,3474631,3472976,3441019,3290176,3317297
2020-07-17,MT,3444937,3474325,3472640,3440066,3282915,3313413
2020-07-18,MT,3444127,3474010,3472293,3439111,3275434,3309499
2020-07-19,MT,3443313,3473685,3471937,3438155,3267728,3305558
2020-07-20,MT,3442494,3473350,3471571,3437198,3259795,3301589
2020-07-21,MT,3441672,3473005,3471195,3436239,3251632,3297592
2020-07-22,MT,3440845,3472650,3470808,3435279,3243236,3293569
2020-07-23,MT,3440013,3472284,3470411,3434318,3234607,3289519
2020-07-24,MT,3439178,3471908,3470002,3433356,3225741,3285443
2020-07-25,MT,3438338,3471520,3469582,3432392,3216638,3281342
2020-07-26,MT,3437494,3471120,3469150,3431427,3207296,3277216
2020-07-27,MT,3436646,3470708,3468706,3430462,3197715,3273066
2020-07-28,MT,3435794,3470284,3468249,3429495,3187894,3268892
2020-07-29,MT,3434938,3469848,3467780,3428527,3177833,3264694
2020-07-30,MT,3434077,3469398,3467298,3427557,3167534,3260474
2020-07-31,MT,3433213,3468935,3466802,3426587,3156997,3256232
2020-08-01,MT,3432344,3468459,3466292,3425616,3146223,3251969
2020-08-02,MT,3431471,3467968,3465769,3424644,3135216,3247684
2020-08-03,MT,3430594,3467462,3465230,3423670,3123976,3243379
2020-08-04,MT,3429713,3466942,3464677,3422696,3112508,3239055
2020-08-05,MT,3428828,3466406,3464108,3421721,3100816,3234711
2020-08-06,MT,3427939,3465854,3463524,3420745,3088902,3230349
2020-08-07,MT,3427046,3465286,3462923,3419768,3076773,3225970
2020-08-08,MT,3426149,3464701,3462306,3418790,3064433,3221574
2020-08-09,MT,3425248,3464098,3461671,3417811,3051889,3217161
2020-08-10,MT,3424342,3463478,3461020,3416832,3039146,3212733
2020-08-11,MT,3423433,3462840,3460350,3415851,3026212,3208290
2020-08-12,MT,3422520,3462183,3459661,3414870,3013095,3203833
2020-08-13,MT,3421603,3461507,3458954,3413889,2999802,3199363
2020-08-14,MT,3420682,3460811,3458227,3412906,2986343,3194880
2020-08-15,MT,3419758,3460094,3457480,3411923,2972726,3190385
2020-08-16,MT,3418829,3459357,3456712,3410939,2958961,3185879
2020-08-17,MT,3417897,3458598,3455924,3409954,2945058,3181363
2020-08-18,MT,3416960,3457817,3455113,3408969,2931029,3176837
2020-08-19,MT,3416020,3457013,3454281,3407983,2916883,3172303
2020-08-20,MT,3415077,3456186,3453426,3406997,2902633,3167761
2020-08-21,MT,3414129,3455334,3452547,3406010,2888289,3163211
2020-08-22,MT,3413178,3454459,3451645,3405023,2873865,3158656
2020-08-23,MT,3412223,3453557,3450718,3404035,2859372,3154095
2020-08-24,MT,3411264,3452630,3449765,3403046,2844824,3149529
2020-08-25,MT,3410302,3451676,3448787,3402057,2830232,3144959
2020-08-26,MT,3409336,3450695,3447783,3401068,2815609,3140386
2020-08-27,MT,3408367,3449686,3446751,3400078,2800969,3135811
2020-08-28,MT,3407394,3448647,3445691,3399088,2786325,3131234
2020-08-29,MT,3406417,3447579,3444602,3398098,2771689,3126657
2020-08-30,MT,3405437,3446481,3443484,3397107,2757075,3122080
2020-08-31,MT,3404453,3445351,3442336,3396116,2742495,3117504
2020-09-01,MT,3403466,3444190,3441158,3395125,2727962,3112930
2020-09-02,MT,3402476,3442995,3439947,3394133,2713489,3108359
2020-09-03,MT,3401482,3441767,3438704,3393142,2699088,3103791
2020-09-04,MT,3400485,3440504,3437428,3392150,2684771,3099227
2020-09-05,MT,3399485,3439206,3436118,3391158,2670550,3094669
2020-09-06,MT,3398481,3437871,3434773,3390165,2656436,3090116
2020-09-07,MT,3397474,3436499,3433393,3389173,2642440,3085570
2020-09-08,MT,3396464,3435089,3431975,3388181,2628574,3081032
2020-09-09,MT,3395450,3433640,3430521,3387188,2614846,3076501
2020-09-10,MT,3394434,3432151,3429027,3386195,2601268,3071980
2020-09-11,MT,3393414,3430620,3427495,3385203,2587847,3067469
2020-09-12,MT,3392391,3429048,3425922,3384210,2574594,3062969
2020-09-13,MT,3391365,3427432,3424308,3383218,2561515,3058479
2020-09-14,MT,3390337,3425772,3422652,3382225,2548620,3054002
2020-09-15,MT,3389305,3424068,3420953,3381233,2535914,3049538
2020-09-16,MT,3388270,3422317,3419210,3380240,2523405,3045088
2020-09-17,MT,3387232,3420518,3417421,3379248,2511098,3040652
2020-09-18,MT,3386192,3418672,3415586,3378256,2499000,3036230
2020-09-19,MT,3385149,3416776,3413704,3377264,2487115,3031825
2020-09-20,MT,3384103,3414829,3411773,3376273,2475447,3027436
2020-09-21,MT,3383054,3412831,3409793,3375281,2464000,3023064
2020-09-22,MT,3382002,3410780,3407762,3374290,2452779,3018711
2020-09-23,MT,3380948,3408675,3405680,3373299,2441784,3014375
2020-09-24,MT,3379891,3406514,3403545,3372309,2431020,3010059
2020-09-25,MT,3378832,3404298,3401355,3371319,2420487,3005762
2020-09-26,MT,3377770,3402024,3399111,3370329,2410187,3001486
2020-09-27,MT,3376706,3399691,3396810,3369340,2400120,2997231
2020-09-28,MT,3375639,3397299,3394452,3368351,2390288,2992998
2020-09-29,MT,3374570,3394845,3392035,3367362,2380690,2988786
2020-09-30,MT,3373498,3392329,3389558,3366374,2371326,2984598
2020-10-01,MT,3372424,3389750,3387019,3365386,2362196,2980432
2020-10-02,MT,3371348,3387106,3384418,3364399,2353297,2976291
2020-10-03,MT,3370270,3384396,3381754,3363413,2344628,2972173
2020-10-04,MT,3369189,3381619,3379024,3362427,2336189,2968081
2020-10-05,MT,3368107,3378773,3376228,3361442,2327976,2964014
2020-10-06,MT,3367022,3375859,3373365,3360457,2319988,2959973
2020-10-07,MT,3365935,3372873,3370432,3359473,2312221,2955958
2020-10-08,MT,3364846,3369816,3367429,3358489,2304673,2951970
2020-10-09,MT,3363756,3366685,3364355,3357507,2297341,2948009
2020-10-10,MT,3362663,3363480,3361208,3356525,2290223,2944076
2020-10-11,MT,3361569,3360200,3357986,3355543,2283313,2940170
2020-10-12,MT,3360472,3356843,3354689,3354563,2276609,2936293
2020-10-13,MT,3359374,3353408,3351316,3353583,2270108,2932445
2020-10-14,MT,3358275,3349894,3347864,3352604,2263805,2928626
2020-10-15,MT,3357173,3346301,3344332,3351626,2257696,2924836
2020-10-16,MT,3356070,3342626,3340720,3350649,2251778,2921076
2020-10-17,MT,3354966,3338870,3337025,3349672,2246047,2917346
2020-10-18,MT,3353860,3335030,3333247,3348697,2240498,2913646
2020-10-19,MT,3352752,3331107,3329385,3347722,2235128,2909977
2020-10-20,MT,3351644,3327098,3325436,3346749,2229932,2906339
2020-10-21,MT,3350533,3323003,3321400,3345776,2224905,2902732
2020-10-22,MT,3349422,3318822,3317275,3344804,2220045,2899156
2020-10-23,MT,3348309,3314553,3313060,3343834,2215346,2895611
2020-10-24,MT,3347195,3310195,3308754,3342864,2210805,2892099
2020-10-25,MT,3346080,3305749,3304356,3341896,2206416,2888618
2020-10-26,MT,3344964,3301212,3299864,3340929,2202177,2885170
2020-10-27,MT,3343847,3296585,3295277,3339963,2198084,2881754
2020-10-28,MT,3342728,3291867,3290594,3338997,2194131,2878370
2020-10-29,MT,3341609,3287057,3285815,3338033,2190315,2875019
2020-10-30,MT,3340489,3282156,3280937,3337071,2186632,2871700
2020-10-31,MT,3339368,3277162,3275960,3336109,2183078,2868414
2020-11-01,MT,3338247,3272075,3270883,3335149,2179649,2865161
2020-11-02,MT,3337124,3266895,3265704,3334190,2176342,2861941
2020-11-03,MT,3336001,3261621,3260424,3333232,2173153,2858753
2020-11-04,MT,3334878,3256255,3255040,3332275,2170078,2855599
2020-11-05,MT,3333754,3250795,3249553,3331320,2167113,2852478
