beta,gammaA,gammaS,pop,state
1.999999948752576,0.308641949833938,0.3333251404943756,7164788,SC
1.9999999628858542,0.308641975276849,0.3333333076675732,2778986,MS
1.999999997803054,0.30864197299527674,0.33333333262698583,4144597,AM
1.9999999999944564,0.30864197530854137,0.33333333329628867,3337357,AL
1.9999999999997564,0.3086419753086419,0.33333333333333326,45919049,SP
1.9999999999981932,0.30864197530864157,0.3333333333333326,14873064,BA
1.9999999871348146,0.3086419753086405,0.3333333333333329,4018650,ES
1.9999999999999603,0.30864197530694804,0.3333333333321345,8602865,PA
1.999999999999677,0.3086419753086419,0.33333333333333326,9132078,CE
1.9999999999999998,0.3086419753086419,0.3333333333089037,17264943,RJ
1.9999999999918683,0.3086419751700199,0.2935148338449371,3015268,DF
1.9999999420543815,0.30864197529690224,0.3333333333333137,4018127,PB
1.9999999999999998,0.30864197530864174,0.33333333333144105,11433957,PR
1.9999999875611112,0.3086419753077146,0.33333333333296666,881935,AC
1.9188142955788103,0.30860729346182963,0.33327106196191314,21168791,MG
1.999999999999991,0.3086419753086419,0.33333333333333326,1777225,RO
1.9996205809710332,0.30864197529890297,0.3330677532505152,210147125,TOTAL
1.991427475671512,0.30864136119598023,0.33328328910710875,7018354,GO
1.9999999999999998,0.30864197530863285,0.2801583521937347,1572866,TO
1.4904929054385487,0.3081623127359552,0.20000000062910692,605761,RR
1.9999999998093425,0.30864193599102874,0.33333327484936065,3506853,RN
1.9999999999998967,0.3086419753086419,0.33333333333333326,2298696,SE
1.9999999889065883,0.30864195977909314,0.3333332295774,3273227,PI
1.9999999638707764,0.30864197530517984,0.3333333332345982,7075181,MA
1.9999999999993407,0.30864197530864185,0.3333333329766992,9557071,PE
1.9999999999999938,0.3086419753086419,0.33333333333333326,845731,AP
1.9999999999999998,0.3086419753086419,0.3333333333333015,11377239,RS
1.9999999999999984,0.3086419753086419,0.33333333333333326,3484466,MT
