beta1,gamma,pop,state
0.17304555880303013,0.14285714285714193,11433957,PR
0.17214309258328603,0.14285714285714282,605761,RR
0.17597431438861477,0.14285714285714263,17264943,RJ
0.17925128360436557,0.1428571428571428,9132078,CE
0.17202097863394855,0.1428571428570451,845731,AP
0.16977490115446808,0.14285714285714274,3506853,RN
0.17310141869761045,0.142857142856791,3484466,MT
0.170636904334666,0.14285714285425039,1777225,RO
0.17619228024875452,0.14285714285712778,4144597,AM
0.16954324449424835,0.1428571428570963,1572866,TO
0.17381065263987008,0.14285714285714265,9557071,PE
0.17599505453387077,0.1428571428571423,14873064,BA
0.17500811866497673,0.1428571428571428,21168791,MG
0.17203207975860124,0.14285714285111678,3273227,PI
0.17899740590692523,0.14285714285714277,8602865,PA
0.17447012894515207,0.14285714285712048,4018127,PB
0.16565409418538976,0.14285714285691514,881935,AC
0.1902746714858507,0.14285714285714282,210147125,TOTAL
0.17057240819156014,0.1428571428571428,3337357,AL
0.1683305489933342,0.14285714285714282,2778986,MS
0.1739238686088336,0.14285714285714246,7018354,GO
0.17130073687847824,0.14285714285713882,2298696,SE
0.1809592818579875,0.14285714285714282,45919049,SP
0.17472705573764782,0.14285714285714282,7164788,SC
0.17279683363922285,0.14285714285714282,4018650,ES
0.17605946004818226,0.14285714285702478,3015268,DF
0.17757890487400427,0.14285714285714124,7075181,MA
0.17299040180527217,0.14285714285714282,11377239,RS
