Nome do campo original;Nome do campo dado pela PAMEpi;Legenda do Campo;Tipo;Categorias originais;Categorias dadas pela PAMEpi;Descrição
UF;uf;Iniciais do estado;String;Sem categoria;Sem categoria;Iniciais do estado
Cod;uf_code;Código do estado;Number;Sem categoria;Sem categoria;Código do estado
Data;data;Data de publicação do decreto;Data;Sem categoria;Sem categoria;Data de publicação do decreto
indGeneral;indGeneral;Indice geral;Number;Sem categoria;Sem categoria;(O1 + O2 + O3 + O4 + C1 + C2 ) * 100 / 6
O1;O1;Cancelar eventos públicos;Number;Sem categoria;Sem categoria;NO0 - Sem medidas ,NO1 - Proibição de eventos e equipamentos públicos ,NO2 - Restrições a aglomerações muito grandes (acima de 500 pessoas),NO3 - Restrições a aglomerações entre 100-499 pessoas,NO4 - Restrições para aglomerações de 50 a 99 pessoas,NO5 - Restrições para aglomerações de 5 a 49 pessoas,NO6 - Proibição total de eventos ou atividades lotadas ,GO0 - Direcionado ou condicional,GO1 - Geral
O2;O2;Fechamento de escolas/universidades;Number;Sem categoria;Sem categoria;NO0 - Sem medidas,NO1 - Sugere fechamento,NO2 - Exige fechamento ,GO0 - Direcionado ou condicional,GO1 - Geral
O3;O3;Home-office para funcionários públicos;Number;Sem categoria;Sem categoria;NO0 - Sem medidas,NO1 - Home-office para pessoas com sintomas ou de algum grupo de risco,NO2 - Home-office opcional,NO3 - Agendamento estratégico trabalho,NO4 - Home-office obrigatório ,GO0 - Direcionado ou condicional,GO1 - Geral
O4;O4;Isolamento;Number;Sem categoria;Sem categoria;NO0 - Sem medidas,NO1 - Isolamento vertical,NO2 - Isolamento horizontal ,GO0 - Direcionado ou condicional,GO1 - Geral
C1;C1;Fechamento de negócios não essenciais e atividades públicas;Number;Sem categoria;Sem categoria;0 - Sem medidas,+1 - Fechamento de shoppings,+1 – Suspensão de negócios não essenciais,+1 - Suspensão de bares e restaurantes,+1 - Proibição de atividades em espaços públicos (praias, parques, etc) ,+1 - Suspensão de atividades religiosas,+1 - Fechamento de locais culturais (teatro, cinema, museu), +1 – Encerramento dos ginásios ,SGCj – A soma das medidas que foi geral ,SCj - A soma das restrições aplicadas,Ncj - O número de restrições possíveis
C2;C2;Bloqueio de transporte (Considerando apenas transporte rodoviário e fluvial);Number;Sem categoria;Sem categoria;0 - Sem medidas,+1 - Suspensão em ônibus urbanos ,+1 - Suspensão em ônibus intermunicipais ,+ 1 - Suspensão dos ônibus interestaduais,+1 - Suspensão total do transporte na cidade ,+1 - Suspensão total do transporte intermunicipal,+1 – Suspensão total do transporte interestadual ,SGCj – Soma das medidas que foi geral ,SCj - A soma das restrições aplicadas ,Ncj - O número de restrições possíveis
O;O;A classe ordinal apresenta uma ordem clara sobre a intensidade da restrição;Formula para calcular as colunas com nome iniciadas em O;Sem categoria;Sem categoria;i=j/[NOj(2-Goj)]
C;C;A classe cumulativa não apresenta uma ordem clara de intensidade da restrição.;Formula para calcular as colunas com nome iniciadas em C;Sem categoria;Sem categoria;iCj=[SGCj+(SCj-SGCj)]/NCj
