Original field name;Field name given by PAMEpi;Field label;Type;Original categories;Categories given by PAMEpi;Description
code_full_mun_ibge;code_full_mun_ibge;Full city IBGE code;integer;Uncategorized;Uncategorized;Full city IBGE code (7 digits)
code_mun_ibge;code_mun_ibge;city IBGE code;integer;Uncategorized;Uncategorized;city IBGE code (6digits)
nome_mun;mun_name;city name;string;Uncategorized;Uncategorized;city name
uf;uf;UF acronym;string;Uncategorized;Uncategorized;Federative unity (state) acronym
uf_code;uf_code;UF IBGE code;integer;Uncategorized;Uncategorized;Federative unity (state) IBGE code
date;date;Date;date;Uncategorized;Uncategorized;Date (starting from 01/01/2020)
num_dose_reg_VAC;num_dose_reg_VAC;Total Number of doses applied and registered ;integer;Uncategorized;Uncategorized;Total Number of doses applied and registered extracted from the national vaccine database (VACdb). The variable is created with the 'vacina_descricao_dose' variable, from the vaccine database, by summing all categories except 'Dose' and 'null'.
num_dose_non_reg_VAC;num_dose_non_reg_VAC;Total Number of doses applied and not yet registered;integer;Uncategorized;Uncategorized;Total Number of doses applied and not yet registered extracted from the national VACdb. The variable is created with the 'vacina_descricao_dose' variable, from the vaccine database, by summing the categories 'Dose' and 'null'.
total_dose_VAC;total_dose_VAC;Total Number of doses applied;integer;Uncategorized;Uncategorized;Sum of 'num_dose_reg_VAC' and 'num_dose_non_reg_VAC' variables.
num_vac_type_1_VAC;num_vac_type_1_VAC;Total Number of administered doses of vaccine of type 1;integer;Uncategorized;Uncategorized;Total Number of administered doses of vaccine of type 1: AZD1222 Vaxzevria (Astrazeneca/Oxford/Fiocruz). The variable can be created using the 'vacina_nome' variable in the VACdb.
num_vac_type_2_VAC;num_vac_type_2_VAC;Total Number of administered doses of vaccine of type 2;integer;Uncategorized;Uncategorized;Total Number of administered doses of vaccine of type 2: COVID-19 Vaccine (Vero Cell), Inactivated/Coronavac (Sinovac/Butantan). The variable can be created using the 'vacina_nome' variable in the VACdb.
num_vac_type_3_VAC;num_vac_type_3_VAC;Total Number of administered doses of vaccine of type 3;integer;Uncategorized;Uncategorized;Total Number of administered doses of vaccine of type 3: BNT162b2/COMIRNATY Tozinameran (INN), (Pfizer/BioNTech/Wyeth). The variable can be created using the 'vacina_nome' variable in the VACdb.
num_vac_type_4_VAC;num_vac_type_4_VAC;Total Number of administered doses of vaccine of type 4;integer;Uncategorized;Uncategorized;Total Number of administered doses of vaccine of type 4: Ad26.COV2.S (Janssen/Johnson & Johnson). The variable can be created using the 'vacina_nome' variable in the VACdb.
num_dose_pri_VAC;num_dose_pri_VAC;Total Number of first dose applied;integer;Uncategorized;Uncategorized;The variable was created by adding the categories '1ª Dose' and 'Dose Inicial' in the 'vacina_descricao_dose' variable.
num_dose_sec_uni_VAC;num_dose_sec_uni_VAC;Total Number of second or single dose applied;integer;Uncategorized;Uncategorized;The variable was created by adding the categories '2ª Dose' and 'Unica' in the 'vacina_descricao_dose' variable.
num_dose_reinforcment_VAC;num_dose_reinforcment_VAC;Total Number of booster applied;integer;Uncategorized;Uncategorized;The variable was created by adding the categories '3ª, 4ª and 5ª Dose', '1º, 2º and 3º Reforço', 'Reforço', 'Dose Adicional', '1ª, 2ª, 3ª Dose Revacinação', 'Revacinação' and 'tratamento com duas doses ou mais' in the 'vacina_descricao_dose' variable.More info at: https://www.cdc.gov/coronavirus/2019-ncov/vaccines/faq.html and https://www.gov.br/saude/pt-br/coronavirus/publicacoes-tecnicas/guias-e-planos/plano-nacional-de-operacionalizacao-da-vacinacao-contra-covid-19.pdf.
