Field name;Field name given by PAMEpi;Field label;Type;Categories;Values that appear in the Dateset along with the PAMEpi harmonizatios (for categorical variables);Description
DT_NOTIFIC;dt_ntf;1-Date of filling out the notification form.;Date  DD/MM/AAAA;Uncategorized;Uncategorized;Required field. Date must be <= the Date of typing.
SEM_NOT;sem_ntf;Epidemiological week of filling out the notification form.;String;Uncategorized;Uncategorized;Internal Field. Calculated from the Date of First Symptoms.
DT_SIN_PRI;dt_sin_pri;2-Date of 1st symptoms of the case.;Date  DD/MM/AAAA;Uncategorized;Uncategorized;Required field. Date must be <= the Date of typing and Date of filling in the notification form
SEM_PRI;sem_pri;Epidemiological week of symptom onset.;String;Uncategorized;Uncategorized;Internal Field. Calculated from the Date of First Symptoms.
SG_UF_NOT;uf_ntf;3-Federal Unit where the Sentinel Unit that made the notification is located.;String;Table with code and acronyms of the UF standardized by IBGE.;Uncategorized;Required field. If the user who is typing the form is a level: Sentinel Unit - the field is automatically filled in by the system with the UF, municipality and unit where the user is registered.  Municipal – the field is automatically filled in by the system with the State and municipality where the user is registered. State – the field is automatically filled in by the system with the user's UF. Federal - opens a table with all the FUs that have sentinel units registered in the system.
ID_MUNICIP;mun_ntf;4-Municipality where the Sentinel Unit that made the notification is located.;String;Table with code and names of Municipalities standardized by IBGE.;Uncategorized;Required field. By filling in the name of the notification municipality, the code is automatically filled in, and vice versa. If the user who is typing the form is a level: Sentinel Unit – the field is automatically filled in by the system with the Municipality where the notification unit is located.  Municipal – the field is automatically filled in by the system with the user's municipality. State or Federal – opens a table with all the municipalities of the FU selected in field 3 that have sentinel units registered in the system.
CO_MUN_NOT;mun_code_ntf;4- Code of the Municipality where the Sentinel Unit that made the notification is located.;Number;Table with code and names of Municipalities standardized by IBGE.;Uncategorized;Required field. By filling in the name of the notification municipality, the code is automatically filled in, and vice versa. If the user who is typing the form is a level: Sentinel Unit – the field is automatically filled in by the system with the Municipality where the notification unit is located.  Municipal – the field is automatically filled in by the system with the user's municipality. State or Federal – opens a table with all the municipalities of the FU selected in field 3 that have sentinel units registered in the system.
ID_REGIONA;reg_mun_ntf;Regional Health where the Municipality is located made the notification.;String;Table with code and names of the Health Regions of the reporting municipalities standardized by the IBGE.;Uncategorized;Internal Field.By filling in the name of the notification health region, the code is automatically filled in, and vice versa. If the user who is typing the form is a level: Sentinel Unit – the field is automatically filled in by the system with the Regional of the Municipality where the notification unit is located. Municipal – the field is automatically filled in by the system with the regional of the user's municipality.
CO_REGIONA;reg_mun_code_ntf;Regional Health Code where the Municipality made the notification.;Number;Table with code and names of the Health Regions of the reporting municipalities standardized by the IBGE.;Uncategorized;Internal Field.By filling in the name of the notification health region, the code is automatically filled in, and vice versa. If the user who is typing the form is a level: Sentinel Unit – the field is automatically filled in by the system with the Regional of the Municipality where the notification unit is located. Municipal – the field is automatically filled in by the system with the regional of the user's municipality.
ID_UNIDADE;uni_ntf;5-Sentinel Unit that performed the service, sample collection and case registration.;String;uncategorized;Uncategorized;Required field. By filling in the unit name, the code is automatically filled in, and vice versa. If the user who is typing the form is a level: Sentinel Unit - the field is automatically filled in by the system. Municipal – opens a table with only the sentinel units in the municipality. State or Federal – opens a table with the sentinel units of the municipality selected in field 4.
CO_UNI_NOT;cnes;5-CNES Code of the Health Unit;Number;Table with CNES codes and names of Sentinel Units registered in the system.;Uncategorized;Required field. By filling in the unit name, the code is automatically filled in, and vice versa. If the user who is typing the form is a level: Sentinel Unit - the field is automatically filled in by the system. Municipal – opens a table with only the sentinel units in the municipality. State or Federal – opens a table with the sentinel units of the municipality selected in field 4.
ESTRANG;entrang;8-Inform if the patient is a foreigner;Number;Sim (yes) = 1, Não (no) = 2, ;Sim = 1, Não = 2, Ignorado =9;Required field. If 'Yes' is selected, the CPF and CNS field is no longer mandatory. Value 9 when not filled
CS_SEXO;sexo;11-Sex of the patient.;String;M-Masculino (male), F-Feminino (female), I-Ignorado (ignored);1-Masculino, 2-Feminino, 9-Ignorado;Required field. Value 9 when not populated or marked as Ignored.
DT_NASC;dt_nasc;12-Patient's date of birth.;Date DD/MM/AAAA;Uncategorized;Uncategorized;Essential field. Date must be <= the Date of the first symptoms.
NU_IDADE_N;idade;13-Age informed by the patient when the date of birth is not known. In the absence of this Date, the apparent age is recorded.;Number;Uncategorized;Uncategorized;Required field. If the Date of birth is entered, the age is calculated and automatically filled in by the system: considering the interval between the Date of birth and the Date of the first symptoms. Age must be <= 150.
