Original field name;Field name given by PAMEpi;Field label;Type;Original categories;Categories given by PAMEpi;Description
UF;uf;state initials;String;Uncategorized;Uncategorized;state initials
Cod;uf_code;state code;Number;Uncategorized;Uncategorized;state code
Date;date;Date the decree was published;Date;Uncategorized;Uncategorized;Date the decree was published
indGeneral;indGeneral;General index;Number;Uncategorized;Uncategorized;(O1 + O2 + O3 + O4 + C1 + C2) * 100/6
O1;O1;Cancel public events;Number;Uncategorized;Uncategorized;NO0 - No measurements, NO1 - Prohibition of public events and public facilities, NO2 - Restrictions on very large agglomerations (above 500 people), NO3 - Restrictions on gatherings between 100-499 people, NO4 - Restrictions on gatherings between 50-99 people, GN5 - Restrictions on gatherings between 5-49 people, GN6 - Total ban on crowded events or activities, GO0 - Directed or conditional, GO1 - General
O2;O2;Closing of schools/universities;Number;Uncategorized;Uncategorized;NO0 - No measurements, NO1 - Suggests closing, NO2 - Requires closing, GO0 - Directed or conditional, GO1 - General
O3;O3;Home office for public employees;Number;Uncategorized;Uncategorized;NO0 - No measurements, NO1 - Home office for people with symptoms or from some risk groups, NO2 - Optional Home Office, NO3 - Strategic scheduling work, NO4 - Mandatory Home Office, GO0 - Directed or conditional, GO1 - General
O4;O4;Isolation;Number;Uncategorized;Uncategorized;NO0 - No measurements, NO1 - Vertical insulation, NO2 - Horizontal insulation, GO0 - Directed or conditional, GO1 - General
C1;C1;Closure of non-essential businesses and public activities;Number;Uncategorized;Uncategorized;0 - No measurements, +1 - Closing of malls, +1 – Non-essential business suspension, +1 - Suspension of bars and restaurants, +1 - Prohibition of activities in public spaces (beaches, parks, etc.), +1 - Suspension of religious activities, +1 - Closing of cultural spaces (theater, cinema, museum), +1 – Gym closures, SGCj – The sum of measures that was general, SCj - The sum of restrictions applied, Ncj - The Number of possible restrictions
C2;C2;Transport blocking (Considering only road and river transport);Number;Uncategorized;Uncategorized;0 - No measurements, +1 - Suspension in urban buses, +1 - Suspension on intercity buses, +1 - Suspension on interstate buses, +1 - Total suspension of transport in the city, +1 - Total suspension of transport between cities, +1 – Total suspension of transport between states, SGCj – The sum of measures that was general, SCj - The sum of restrictions applied, Ncj - The Number of possible restrictions
O;O;The ordinal class presents a clear order on the strength of the constraint;Formula to calculate named columns starting with O;Uncategorized;Uncategorized;iOj=j/[NOj(2-Goj)]
C;C;The cumulative class does not have a clear order of constraint strength.;Formula to calculate named columns starting in C;Uncategorized;Uncategorized;iCj=[SGCj+(SCj-SGCj)]/NCj
