day,state,suscetivel,exposto,infectadoS,infectadoA,recuperado
2020-03-12,SC,0.9999860428529078,6.978573546070029e-06,6.978573546070029e-06,6.978573546070029e-06,0.0
2020-03-13,SC,0.9999724510926976,1.649268840696798e-05,5.4608671058042155e-06,8.238882137104555e-06,4.335043198626765e-06
2020-03-14,SC,0.9999607668960907,2.17257088704255e-05,4.631514013308009e-06,1.0913247063116997e-05,8.94120750845684e-06
2020-03-15,SC,0.9999498171732487,2.486860514153745e-05,4.185193929476286e-06,1.3879348334248365e-05,1.4228252891880371e-05
2020-03-16,SC,0.9999390047073097,2.7016616355446502e-05,3.958813461024096e-06,1.6691441740566692e-05,2.0306994679206766e-05
2020-03-17,SC,0.9999280307268423,2.869741577704565e-05,3.865704715584755e-06,1.922519701232251e-05,2.7159529198633098e-05
2020-03-18,SC,0.9999167323345314,3.0180400144841665e-05,3.856544386250336e-06,2.1475526224291898e-05,3.4733768259104914e-05
2020-03-19,SC,0.9999050182592435,3.159857281894322e-05,3.902959503126438e-06,2.348744926374218e-05,4.297133271661755e-05
2020-03-20,SC,0.9998928336345122,3.301523472053504e-05,3.988477276099846e-06,2.531913433598109e-05,5.182209270099178e-05
2020-03-21,SC,0.9998801366066082,3.4466009012294964e-05,4.102329005939824e-06,2.7024372685780736e-05,6.12492562335096e-05
2020-03-22,SC,0.9998668975056798,3.59666657931985e-05,4.238562808594451e-06,2.8644811954646302e-05,7.123102730941926e-05
2020-03-23,SC,0.999853088141671,3.75280044919005e-05,4.392872078876512e-06,3.0215195678112204e-05,8.175435962585151e-05
2020-03-24,SC,0.9998386822137684,3.9156227297664905e-05,4.562577555068517e-06,3.176251884907943e-05,9.281503607543115e-05
2020-03-25,SC,0.9998236478149941,4.0858489971591865e-05,4.744744809645402e-06,3.331703071458333e-05,0.00010441049305569664
2020-03-26,SC,0.9998079595582688,4.2636555004866585e-05,4.938817878511345e-06,3.489287705444347e-05,0.00011655076533898548
2020-03-27,SC,0.9997915901924241,4.449127117447354e-05,5.144548955315415e-06,3.6503902402767236e-05,0.00012924865858900003
2020-03-28,SC,0.9997744999737705,4.642373356403448e-05,5.362187362538653e-06,3.816418838247717e-05,0.0001425284904661467
