day,state,suscetivel,exposto,infectado,recuperado
2020-03-14,MS,0.9999820078261311,1.7992146482474896e-05,1.7992173868907654e-05,0.0
2020-03-15,MS,0.9999785334488296,1.585568840714762e-05,2.0818836759238558e-05,2.7841724865881974e-06
2020-03-16,MS,0.9999746368951257,1.4686467064257844e-05,2.2762119225754154e-05,5.906665066833914e-06
2020-03-17,MS,0.9999704461694353,1.4092953593863732e-05,2.41881183000022e-05,9.264905153316767e-06
2020-03-18,MS,0.9999660318581799,1.3855876335330838e-05,2.5302081096590993e-05,1.280233087071381e-05
2020-03-19,MS,0.9999614361847814,1.3840952615715761e-05,2.622990064747216e-05,1.648510843798164e-05
2020-03-20,MS,0.9999566860588717,1.3959699786731088e-05,2.7054712336889977e-05,2.029167548724624e-05
2020-03-21,MS,0.9999517950406795,1.4163531032058558e-05,2.7822407707450346e-05,2.42111670634904e-05
2020-03-22,MS,0.9999467700761567,1.4422883720845406e-05,2.856116795207486e-05,2.8238018652922512e-05
2020-03-23,MS,0.9999416140505138,1.4722662464053756e-05,2.9285514122088413e-05,3.2369919382505105e-05
2020-03-24,MS,0.9999363288611767,1.5045998518595875e-05,3.0011935944653544e-05,3.660535084255555e-05
2020-03-25,MS,0.9999309133714277,1.5389070111922762e-05,3.074447959576727e-05,4.094522534712862e-05
2020-03-26,MS,0.9999253662261302,1.574722628130507e-05,3.148806351222988e-05,4.5390630558684454e-05
2020-03-27,MS,0.9999196853825115,1.6117534073566142e-05,3.224602459921909e-05,4.994320529812655e-05
2020-03-28,MS,0.9999138681266986,1.649882104716543e-05,3.3020072447475305e-05,5.4605126289208146e-05
2020-03-29,MS,0.9999079114377283,1.6890618462340977e-05,3.3811273839368816e-05,5.937881645238113e-05
2020-03-30,MS,0.9999018120360285,1.7292686495075128e-05,3.462051782466367e-05,6.42669061341197e-05
2020-03-31,MS,0.999895565237723,1.7705053218430738e-05,3.5448703517129064e-05,6.927315202379526e-05
2020-04-01,MS,0.9998891697254375,1.8127739290451287e-05,3.6296071035006056e-05,7.439861071934561e-05
2020-04-02,MS,0.9998826210639902,1.8560805399753205e-05,3.71634374603987e-05,7.964683963193108e-05
2020-04-03,MS,0.9998759156576089,1.9004300748926776e-05,3.8051465233124484e-05,8.502072289129597e-05
2020-04-04,MS,0.9998690530065566,1.9458245672546304e-05,3.896023290073178e-05,9.052066135240088e-05
2020-04-05,MS,0.9998620211358685,1.992312743845403e-05,3.989162266118691e-05,9.615626051417438e-05
2020-04-06,MS,0.9998548254581602,2.039872185458671e-05,4.0844787627878165e-05,0.00010192317883959227
2020-04-07,MS,0.9998474596897232,2.0885257491450336e-05,4.182074193398563e-05,0.00010782645733354493
2020-04-08,MS,0.9998399188138734,2.1382924992808148e-05,4.2820287258672754e-05,0.00011387012035739426
2020-04-09,MS,0.9998321981309599,2.1891905512424372e-05,4.3844172121030017e-05,0.00012005793788877719
2020-04-10,MS,0.9998242929413327,2.241238020406323e-05,4.489314504014789e-05,0.00012639367990533056
2020-04-11,MS,0.9998161985453409,2.2944530221488954e-05,4.5967954535116864e-05,0.0001328811163846913
2020-04-12,MS,0.9998079100882872,2.3489435865507557e-05,4.706848061190207e-05,0.0001395241417176143
2020-04-13,MS,0.999799422068259,2.4051989893485443e-05,4.8190918660522556e-05,0.000146327169669135
2020-04-14,MS,0.9997907304846416,2.463089536932354e-05,4.9337355653415225e-05,0.00015329341081786482
2020-04-15,MS,0.9997818318554778,2.5222358094123297e-05,5.051227271783455e-05,0.00016042566019243285
2020-04-16,MS,0.9997727202580874,2.5825674689865026e-05,5.171754311582655e-05,0.000167728670589131
2020-04-17,MS,0.9997633946707468,2.6440811450196124e-05,5.295340239439488e-05,0.00017520326189084302
2020-04-18,MS,0.9997538442392591,2.707186783353304e-05,5.4217896386630686e-05,0.00018285814300296062
2020-04-19,MS,0.9997440656320766,2.7718631614964657e-05,5.551189504900531e-05,0.00019069598774154231
2020-04-20,MS,0.9997340539019846,2.8380646667037263e-05,5.6836831168459684e-05,0.00019872076666215493
2020-04-21,MS,0.999723803266615,2.905817709745094e-05,5.819358224152596e-05,0.00020693712052814977
2020-04-22,MS,0.9997133093841339,2.9751565321243702e-05,5.9582662712964156e-05,0.00021534853431397937
2020-04-23,MS,0.9997025653107484,3.0461260119644986e-05,6.100499447137871e-05,0.00022396058114273825
2020-04-24,MS,0.9996915643935745,3.118767827247898e-05,6.246147402082029e-05,0.00023277860061438781
2020-04-25,MS,0.9996803005403898,3.193131327611307e-05,6.395280965978213e-05,0.00024180748315645495
2020-04-26,MS,0.9996687678079532,3.269267901233446e-05,6.547965967604095e-05,0.0002510519998406113
2020-04-27,MS,0.9996569600039151,3.347225527690433e-05,6.704276597922681e-05,0.00026051712131091063
2020-04-28,MS,0.9996448706285015,3.427055045086731e-05,6.864290202363284e-05,0.00027020806550623105
2020-04-29,MS,0.9996324926110399,3.508812599908903e-05,7.028089984303934e-05,0.0002801305096001551
2020-04-30,MS,0.9996198192577096,3.5925508345662486e-05,7.195755280275003e-05,0.00029028982762420495
2020-05-01,MS,0.9996068178110217,3.678472885335669e-05,7.367728437194599e-05,0.00030071232223535154
2020-05-02,MS,0.9995935517616127,3.766194676305328e-05,7.54314252347902e-05,0.0003113470128717259
2020-05-03,MS,0.9995799559481291,3.856098004620543e-05,7.722899579774984e-05,0.00032224622250929586
2020-05-04,MS,0.9995660301864321,3.94818198869663e-05,7.907004109325063e-05,0.0003334100990699886
2020-05-05,MS,0.9995517689053464,4.0424199558781505e-05,8.095592359321226e-05,0.00034484311798386796
2020-05-06,MS,0.9995371692329285,4.13880181794644e-05,8.288730906998474e-05,0.0003565475863044138
2020-05-07,MS,0.9995222203910255,4.2374281597124e-05,8.486531290248014e-05,0.00036853216095730524
2020-05-08,MS,0.9995069262781174,4.3382526831402585e-05,8.688963170930288e-05,0.00038079370982433693
2020-05-09,MS,0.9994912477313393,4.441681458119263e-05,8.896390871314856e-05,0.0003933636918487865
2020-05-10,MS,0.9994752044327883,4.547510285828372e-05,9.108631412319817e-05,0.00040622629671265497
2020-05-11,MS,0.9994587840653931,4.6558531160068474e-05,9.325812956059975e-05,0.00041939142036868097
2020-05-12,MS,0.9994419739334898,4.766826403776484e-05,9.548068587830409e-05,0.0004328692630766384
2020-05-13,MS,0.9994247631896803,4.8805343731359556e-05,9.775507358263504e-05,0.0004466685394881093
2020-05-14,MS,0.999407140986567,4.9970812480839346e-05,0.00010008238317991643,0.00046079796425467577
2020-05-15,MS,0.9993890966113118,5.116549907023165e-05,0.00010246389193104569,0.00047526614416940256
2020-05-16,MS,0.9993706229436004,5.238453912246004e-05,0.00010490585737054549,0.0004900788063890685
