day,state,suscetivel,infectado,recuperado
2020-03-12,PR,0.999995627060693,4.372939307013311e-06,0.0
2020-03-13,PR,0.9999948584887945,4.507016381708333e-06,6.344948238402426e-07
2020-03-14,PR,0.9999940662010849,4.64523015040918e-06,1.2885687648474122e-06
2020-03-15,PR,0.999993249915016,4.787629884234157e-06,1.9624550999048312e-06
2020-03-16,PR,0.99999240827604,4.934451791166994e-06,2.657272169010513e-06
2020-03-17,PR,0.9999915427697244,5.085436827160869e-06,3.3717934486638278e-06
2020-03-18,PR,0.9999906474996677,5.241613174865916e-06,4.1108871575796075e-06
2020-03-19,PR,0.9999897258057462,5.402398444714284e-06,4.871795809242039e-06
2020-03-20,PR,0.9999887767044263,5.5679641319327005e-06,5.655331441886733e-06
2020-03-21,PR,0.9999877987280273,5.738566133489689e-06,6.4627058392010175e-06
2020-03-22,PR,0.9999867908456124,5.914384208524131e-06,7.294770179149463e-06
2020-03-23,PR,0.999985752065219,6.0955913216761575e-06,8.1523434594369e-06
2020-03-24,PR,0.9999846813948847,6.2823604375858975e-06,9.03624467776816e-06
2020-03-25,PR,0.9999835778426474,6.47486452089348e-06,9.94729283184807e-06
2020-03-26,PR,0.9999824404165445,6.673276536239034e-06,1.0886306919381461e-05
2020-03-27,PR,0.9999812681246137,6.877769448262689e-06,1.1854105938073162e-05
2020-03-28,PR,0.9999800598465388,7.0885385662025445e-06,1.2851614895163705e-05
2020-03-29,PR,0.9999788142092744,7.305823195686337e-06,1.3879967530082206e-05
2020-03-30,PR,0.999977530094892,7.529818230252102e-06,1.4940086877862261e-05
2020-03-31,PR,0.9999762064001014,7.76071601512753e-06,1.6032883883581915e-05
2020-04-01,PR,0.9999748420216122,7.998708895540307e-06,1.715926949231921e-05
2020-04-02,PR,0.9999734358561343,8.243989216718129e-06,1.832015464915219e-05
2020-04-03,PR,0.9999719868003771,8.496749323888684e-06,1.9516450299158893e-05
2020-04-04,PR,0.9999704937510504,8.757181562279662e-06,2.0749067387417367e-05
2020-04-05,PR,0.9999689552070702,9.025547557929634e-06,2.201924537199864e-05
2020-04-06,PR,0.9999673690985228,9.302208005709623e-06,2.3328693471622497e-05
2020-04-07,PR,0.9999657340098809,9.587409630878855e-06,2.4678580488437243e-05
2020-04-08,PR,0.9999640485473682,9.881395370416838e-06,2.6070057261477118e-05
2020-04-09,PR,0.999962311317209,1.0184408161303083e-05,2.7504274629776378e-05
2020-04-10,PR,0.9999605209256273,1.0496690940517095e-05,2.8982383432369268e-05
2020-04-11,PR,0.9999586759788468,1.0818486645038386e-05,3.0505534508290036e-05
2020-04-12,PR,0.9999567750830918,1.1150038211846464e-05,3.2074878696572926e-05
2020-04-13,PR,0.9999548112537598,1.1492561875222813e-05,3.369618436509204e-05
2020-04-14,PR,0.9999527941169682,1.184438213791631e-05,3.536150089398587e-05
2020-04-15,PR,0.9999507137446294,1.2207227660511636e-05,3.7079027710198016e-05
2020-04-16,PR,0.9999485686294717,1.2581361138265387e-05,3.885000939022003e-05
2020-04-17,PR,0.9999463572163046,1.296705360848788e-05,4.0675730087015684e-05
2020-04-18,PR,0.9999440779020196,1.3364584450543147e-05,4.255751353002094e-05
2020-04-19,PR,0.9999417290355892,1.3774241385848944e-05,4.4496723025144e-05
2020-04-20,PR,0.9999393089180675,1.4196320477876734e-05,4.649476145476524e-05
2020-04-21,PR,0.9999368152126636,1.4631228748245127e-05,4.855355858826502e-05
2020-04-22,PR,0.999934245098971,1.5079457348902277e-05,5.067544368019499e-05
2020-04-23,PR,0.9999315962793092,1.554140651183966e-05,5.2862314179156856e-05
2020-04-24,PR,0.9999288663691068,1.601749159016427e-05,5.511613930311039e-05
2020-04-25,PR,0.9999260528941543,1.650814353617865e-05,5.743896230971355e-05
2020-04-26,PR,0.9999231532906024,1.7013808901380893e-05,5.983290049632252e-05
2020-04-27,PR,0.9999201649049637,1.7534949836464654e-05,6.230014519999166e-05
2020-04-28,PR,0.9999170849941114,1.8072044091319136e-05,6.484296179747353e-05
2020-04-29,PR,0.9999139107252799,1.8625585015029088e-05,6.74636897052189e-05
2020-04-30,PR,0.9999106391806438,1.9196080697266913e-05,7.016473865894196e-05
2020-05-01,PR,0.9999072673770216,1.9784050273729602e-05,7.294857270470555e-05
2020-05-02,PR,0.999903792227135,2.039003119021614e-05,7.58177416749021e-05
2020-05-03,PR,0.9999002105517913,2.1014576918378093e-05,7.877487129037022e-05
2020-05-04,PR,0.9998965190832202,2.1658256330144517e-05,8.182266044971459e-05
2020-05-05,PR,0.9998927144650731,2.232165369772194e-05,8.496388122930607e-05
2020-05-06,PR,0.9998887932524232,2.3005368693594383e-05,8.820137888328158e-05
2020-05-07,PR,0.9998847519117661,2.3710016390523343e-05,9.153807184354419e-05
2020-05-08,PR,0.9998805868210188,2.4436227261547805e-05,9.49769517197631e-05
2020-05-09,PR,0.999876294266412,2.5184647714970853e-05,9.852108587311224e-05
2020-05-10,PR,0.9998718701562535,2.5955989353276182e-05,0.00010217385439337036
2020-05-11,PR,0.9998673103059189,2.6750979928488587e-05,0.00010593871415267474
2020-05-12,PR,0.9998626105786775,2.757033910729428e-05,0.00010981908221522835
2020-05-13,PR,0.9998577667346792,2.841480445909027e-05,0.0001138184608618235
2020-05-14,PR,0.9998527744309542,2.928513145598435e-05,0.00011794043758984179
2020-05-15,PR,0.999847629221414,3.0182093472795093e-05,0.00012218868511325415
2020-05-16,PR,0.9998423265568505,3.110648178705186e-05,0.0001265669613626208
2020-05-17,PR,0.999836861784936,3.20591055789948e-05,0.0001310791094850913
2020-05-18,PR,0.9998312301502241,3.304079193157483e-05,0.00013572905784440452
2020-05-19,PR,0.9998254265098269,3.4052434887813124e-05,0.00014052105528535304
2020-05-20,PR,0.9998194449414782,3.509506307630479e-05,0.0001454599954455294
2020-05-21,PR,0.9998132799650374,3.616962895090428e-05,0.00015055040601171728
2020-05-22,PR,0.9998069260035101,3.727710178711595e-05,0.00015579689470284408
2020-05-23,PR,0.9998003773415773,3.84184748375004e-05,0.0001612041835851757
2020-05-24,PR,0.9997936281255961,3.9594765331674467e-05,0.0001667771090723164
