beta,gamma,pop,state
0.17827334943368925,0.14285551377723754,2778986,MS
0.19476145466131756,0.14285714285705778,9132078,CE
0.17968898132253336,0.14285714283341638,1572866,TO
0.18118405543586527,0.14285714242103123,1777225,RO
0.17326391101510835,0.14285714285714268,881935,AC
0.18732941861700828,0.1428569763207057,4018127,PB
0.19043488491391422,0.14285714285713857,17264943,RJ
0.18605622302010305,0.14285714285687176,11433957,PR
0.19214516398096904,0.14285714285713896,7075181,MA
0.18214369433978173,0.14285714285714282,605761,RR
0.18142545347246256,0.142857142852738,3337357,AL
0.18723859720053743,0.14285713096678954,7018354,GO
0.18602091939812015,0.14285714285704224,11377239,RS
0.18843379610649044,0.14285714285691878,7164788,SC
0.1837823430564773,0.14285714281770676,3273227,PI
0.18551692452931043,0.1428571428565683,3484466,MT
0.1893678281509503,0.14285628130178524,3015268,DF
0.184892371865492,0.14285714282743267,4018650,ES
0.18682585335371388,0.14285714285708495,9557071,PE
0.18227046698268304,0.14285710418492556,2298696,SE
0.1986133511131099,0.14285714285694448,45919049,SP
0.1802991300360564,0.14285704585392583,3506853,RN
0.1893160105274345,0.14285714285658,21168791,MG
0.19439635376266523,0.14285714285709494,8602865,PA
0.21365061297110852,0.14285462766649062,210147125,TOTAL
0.1905877353416109,0.14285714285684395,14873064,BA
0.18945370726028019,0.1428571427642723,4144597,AM
0.1819688035989446,0.1428571428565876,845731,AP
